,industry_name,key,num_firms,total_market_cap,total_presentvalue_marketcap,gvkeys,marketcap_id
3,Aircraft,24,20,1199605686796.2,1199605686796.2,"[5047.0, 10983.0, 220833.0, 2285.0, 5046.0, 148349.0, 3662.0, 11580.0, 5567.0, 10519.0, 14078.0, 176362.0, 7549.0, 4091.0, 4763.0, 25726.0, 9698.0, 166087.0, 4415.0, 108939.0]",all
6,Almost Nothing,48,15,233432268920.0,233432268920.0,"[14477.0, 112168.0, 110732.0, 14027.0, 24216.0, 65702.0, 115044.0, 62498.0, 25979.0, 161801.0, 125176.0, 110802.0, 108684.0, 106877.0, 174368.0]",all
9,Apparel,10,27,208222476247.1,208222476247.1,"[7906.0, 140541.0, 178015.0, 29015.0, 64891.0, 111486.0, 11060.0, 252378.0, 270687.0, 164755.0, 8551.0, 29382.0, 105936.0, 10840.0, 11566.0, 19402.0, 150278.0, 165052.0, 63447.0, 8219.0, 27776.0, 10198.0, 7179.0, 106551.0, 66360.0, 111662.0, 5327.0]",all
12,Automobiles and Trucks,23,44,923382570224.0,923382570224.0,"[19661.0, 5073.0, 17828.0, 100022.0, 8253.0, 5691.0, 4839.0, 253759.0, 101276.0, 220414.0, 118122.0, 6946.0, 4036.0, 28742.0, 64690.0, 11721.0, 4608.0, 10549.0, 100548.0, 5116.0, 23753.0, 20561.0, 8386.0, 14311.0, 11796.0, 3734.0, 136648.0, 5234.0, 174152.0, 11537.0, 28408.0, 9919.0, 117861.0, 30558.0, 24720.0, 31567.0, 149683.0, 176169.0, 30220.0, 160570.0, 108831.0, 65815.0, 63798.0, 108322.0]",all
15,Banking,44,420,4211424235860.85,4211424235860.85,"[2968.0, 7647.0, 8007.0, 1447.0, 15633.0, 3243.0, 15706.0, 30990.0, 15743.0, 15580.0, 15582.0, 15362.0, 15581.0, 4723.0, 8245.0, 2019.0, 15576.0, 11856.0, 15620.0, 4699.0, 4640.0, 5786.0, 61452.0, 7982.0, 4690.0, 4674.0, 9783.0, 118042.0, 4601.0, 4737.0, 3231.0, 17150.0, 64547.0, 63781.0, 163920.0, 10916.0, 17095.0, 11687.0, 65228.0, 2002.0, 3643.0, 14219.0, 24447.0, 139025.0, 3238.0, 13041.0, 15208.0, 115876.0, 11861.0, 18049.0, 16832.0, 164633.0, 17248.0, 24232.0, 65106.0, 29282.0, 30222.0, 19713.0, 25339.0, 162560.0, 264731.0, 14115.0, 29101.0, 11842.0, 150306.0, 22086.0, 64794.0, 176766.0, 16889.0, 28022.0, 14172.0, 143974.0, 155738.0, 25173.0, 23500.0, 16821.0, 18948.0, 64536.0, 17151.0, 17184.0, 16790.0, 17132.0, 158587.0, 175263.0, 136265.0, 264485.0, 19355.0, 2005.0, 120318.0, 150279.0, 20019.0, 17195.0, 17145.0, 19318.0, 4685.0, 19094.0, 16845.0, 61487.0, 16777.0, 18329.0, 156953.0, 117141.0, 22717.0, 16981.0, 30932.0, 18241.0, 16781.0, 28866.0, 28155.0, 29175.0, 15199.0, 19570.0, 28278.0, 18732.0, 109183.0, 66235.0, 28967.0, 63135.0, 17724.0, 16432.0, 25751.0, 10121.0, 121815.0, 112721.0, 150803.0, 14253.0, 1076.0, 18094.0, 17106.0, 17240.0, 63232.0, 19150.0, 19262.0, 119714.0, 18195.0, 29994.0, 19817.0, 62979.0, 119414.0, 18533.0, 16705.0, 16689.0, 31368.0, 66285.0, 31358.0, 65689.0, 17534.0, 17245.0, 109599.0, 65548.0, 20109.0, 112542.0, 18276.0, 66288.0, 17650.0, 24725.0, 111819.0, 150477.0, 19428.0, 16890.0, 30055.0, 24932.0, 111721.0, 121713.0, 26071.0, 111739.0, 16967.0, 162307.0, 143153.0, 23450.0, 121073.0, 18434.0, 19873.0, 148750.0, 62243.0, 31895.0, 16668.0, 61585.0, 17173.0, 29855.0, 107817.0, 66394.0, 161853.0, 178834.0, 264628.0, 165284.0, 175798.0, 23547.0, 66453.0, 105538.0, 63224.0, 21593.0, 125580.0, 31764.0, 148669.0, 105616.0, 66504.0, 117026.0, 63725.0, 63639.0, 157307.0, 29902.0, 18037.0, 165578.0, 175607.0, 112572.0, 8060.0, 175083.0, 62139.0, 130598.0, 65162.0, 157498.0, 164365.0, 22267.0, 111940.0, 160753.0, 151544.0, 62315.0, 66286.0, 139705.0, 19124.0, 21521.0, 117845.0, 153876.0, 17877.0, 166556.0, 21191.0, 66155.0, 146607.0, 175722.0, 66158.0, 18182.0, 13289.0, 18358.0, 111179.0, 62919.0, 65958.0, 66210.0, 112295.0, 66355.0, 18385.0, 18035.0, 115960.0, 153616.0, 25481.0, 62365.0, 30647.0, 123998.0, 25852.0, 31718.0, 17659.0, 161005.0, 117034.0, 16989.0, 18524.0, 19137.0, 65230.0, 64228.0, 18695.0, 266160.0, 19366.0, 162759.0, 29946.0, 117018.0, 133764.0, 110243.0, 164724.0, 138541.0, 29944.0, 107644.0, 161942.0, 30140.0, 111675.0, 65924.0, 63058.0, 21525.0, 147312.0, 15153.0, 145954.0, 141667.0, 18008.0, 63272.0, 23357.0, 108664.0, 18301.0, 63402.0, 128039.0, 122779.0, 60990.0, 166197.0, 178120.0, 146091.0, 165465.0, 61224.0, 61796.0, 31028.0, 62575.0, 111537.0, 174597.0, 21728.0, 109981.0, 29061.0, 63178.0, 106373.0, 157969.0, 65136.0, 264309.0, 124597.0, 138305.0, 156219.0, 62157.0, 64784.0, 111872.0, 161085.0, 61055.0, 112254.0, 120038.0, 137370.0, 66200.0, 16957.0, 17641.0, 136844.0, 154499.0, 21423.0, 27886.0, 111640.0, 108302.0, 63820.0, 66597.0, 109198.0, 113339.0, 111527.0, 158313.0, 110103.0, 165630.0, 19023.0, 12956.0, 19067.0, 31385.0, 29903.0, 17848.0, 62123.0, 29513.0, 178420.0, 147690.0, 63275.0, 163841.0, 160776.0, 106829.0, 28058.0, 63721.0, 153449.0, 110940.0, 162825.0, 23554.0, 140582.0, 29917.0, 21194.0, 17269.0, 31218.0, 106846.0, 60938.0, 29466.0, 164934.0, 112433.0, 165513.0, 164647.0, 153895.0, 112884.0, 65225.0, 163667.0, 61815.0, 125234.0, 106352.0, 161940.0, 164705.0, 175121.0, 63720.0, 106770.0, 142624.0, 163069.0, 116209.0, 18946.0, 108193.0, 119014.0, 178091.0, 16829.0, 162961.0, 66289.0, 154583.0, 117117.0, 177856.0, 62527.0, 18979.0, 60953.0, 65003.0, 18442.0, 119914.0, 60845.0, 29300.0, 17795.0, 119436.0, 66263.0, 62517.0, 119154.0, 31501.0, 149379.0, 65050.0, 160788.0, 25395.0, 115516.0, 165916.0, 61394.0, 127478.0, 30857.0, 24204.0, 62212.0, 107327.0, 61586.0, 23369.0]",all
16,Banking - Large Cap,44,84,4056683278200.0,4056683278200.0,"[2968.0, 7647.0, 8007.0, 1447.0, 15633.0, 3243.0, 15706.0, 30990.0, 15743.0, 15580.0, 15582.0, 15362.0, 15581.0, 4723.0, 8245.0, 2019.0, 15576.0, 11856.0, 15620.0, 4699.0, 4640.0, 5786.0, 61452.0, 7982.0, 4690.0, 4674.0, 9783.0, 118042.0, 4601.0, 4737.0, 3231.0, 17150.0, 64547.0, 63781.0, 163920.0, 10916.0, 17095.0, 11687.0, 65228.0, 2002.0, 3643.0, 14219.0, 24447.0, 139025.0, 3238.0, 13041.0, 15208.0, 115876.0, 11861.0, 18049.0, 16832.0, 164633.0, 17248.0, 24232.0, 65106.0, 29282.0, 30222.0, 19713.0, 25339.0, 162560.0, 264731.0, 14115.0, 29101.0, 11842.0, 150306.0, 22086.0, 64794.0, 176766.0, 16889.0, 28022.0, 14172.0, 143974.0, 155738.0, 25173.0, 23500.0, 16821.0, 18948.0, 64536.0, 17151.0, 17184.0, 16790.0, 17132.0, 158587.0, 175263.0]",large_cap
17,Banking - Small Cap,44,84,3208718865.45,3208718865.45,"[12956.0, 19067.0, 31385.0, 29903.0, 17848.0, 62123.0, 29513.0, 178420.0, 147690.0, 63275.0, 163841.0, 160776.0, 106829.0, 28058.0, 63721.0, 153449.0, 110940.0, 162825.0, 23554.0, 140582.0, 29917.0, 21194.0, 17269.0, 31218.0, 106846.0, 60938.0, 29466.0, 164934.0, 112433.0, 165513.0, 164647.0, 153895.0, 112884.0, 65225.0, 163667.0, 61815.0, 125234.0, 106352.0, 161940.0, 164705.0, 175121.0, 63720.0, 106770.0, 142624.0, 163069.0, 116209.0, 18946.0, 108193.0, 119014.0, 178091.0, 16829.0, 162961.0, 66289.0, 154583.0, 117117.0, 177856.0, 62527.0, 18979.0, 60953.0, 65003.0, 18442.0, 119914.0, 60845.0, 29300.0, 17795.0, 119436.0, 66263.0, 62517.0, 119154.0, 31501.0, 149379.0, 65050.0, 160788.0, 25395.0, 115516.0, 165916.0, 61394.0, 127478.0, 30857.0, 24204.0, 62212.0, 107327.0, 61586.0, 23369.0]",small_cap
18,Beer & Liquor,4,13,281544571705.0,281544571705.0,"[8479.0, 28877.0, 2710.0, 3505.0, 2435.0, 209244.0, 61581.0, 14891.0, 3516.0, 162940.0, 15000.0, 30666.0, 25581.0]",all
21,Business Services,34,247,9266145642518.04,9266145642518.04,"[12141.0, 160329.0, 12142.0, 160225.0, 6066.0, 157855.0, 27928.0, 143357.0, 7163.0, 12540.0, 1891.0, 139665.0, 24975.0, 13421.0, 1878.0, 15704.0, 66065.0, 16721.0, 174302.0, 24925.0, 64630.0, 111534.0, 8402.0, 111864.0, 12635.0, 165993.0, 101944.0, 9225.0, 112111.0, 4423.0, 4066.0, 176092.0, 277846.0, 66368.0, 18699.0, 63185.0, 141277.0, 65605.0, 141913.0, 12441.0, 15855.0, 6216.0, 110620.0, 11811.0, 126056.0, 147988.0, 125595.0, 63172.0, 14352.0, 29985.0, 63290.0, 137131.0, 24783.0, 111880.0, 61870.0, 177983.0, 26061.0, 66326.0, 162449.0, 174077.0, 62823.0, 162385.0, 174310.0, 31564.0, 28590.0, 148170.0, 64901.0, 8832.0, 23027.0, 118267.0, 8599.0, 260893.0, 161997.0, 178310.0, 2312.0, 31752.0, 7161.0, 3336.0, 1410.0, 30536.0, 65986.0, 62266.0, 25749.0, 156153.0, 2536.0, 28923.0, 24352.0, 164086.0, 28717.0, 174637.0, 31477.0, 175654.0, 8334.0, 64302.0, 7648.0, 122172.0, 14370.0, 25367.0, 144437.0, 164660.0, 125074.0, 31460.0, 7882.0, 212596.0, 28410.0, 63596.0, 63476.0, 62213.0, 356257.0, 121759.0, 133766.0, 12568.0, 144520.0, 62262.0, 61179.0, 9551.0, 25201.0, 111000.0, 10685.0, 14113.0, 176021.0, 164312.0, 28862.0, 165923.0, 65587.0, 150562.0, 65955.0, 65540.0, 177111.0, 64929.0, 176523.0, 147849.0, 112820.0, 64492.0, 105394.0, 6379.0, 124036.0, 176251.0, 65021.0, 144396.0, 25138.0, 62723.0, 137943.0, 23464.0, 116166.0, 126318.0, 65460.0, 177528.0, 111629.0, 2519.0, 174428.0, 63417.0, 141359.0, 64061.0, 8892.0, 22207.0, 126020.0, 63144.0, 7183.0, 66402.0, 105873.0, 166593.0, 23108.0, 166226.0, 177734.0, 161789.0, 149721.0, 177943.0, 125601.0, 122175.0, 64673.0, 162561.0, 157755.0, 10353.0, 175908.0, 132602.0, 62057.0, 133869.0, 212296.0, 12377.0, 116025.0, 63454.0, 114881.0, 153128.0, 23226.0, 183139.0, 107446.0, 3915.0, 128160.0, 177780.0, 163850.0, 7841.0, 111667.0, 141337.0, 62178.0, 138521.0, 25302.0, 12545.0, 20269.0, 5050.0, 65905.0, 62302.0, 175299.0, 130498.0, 9376.0, 63516.0, 154134.0, 176082.0, 61321.0, 61836.0, 21663.0, 163708.0, 176768.0, 106957.0, 176722.0, 163058.0, 63938.0, 140172.0, 63337.0, 40564.0, 107762.0, 106126.0, 13316.0, 178882.0, 122202.0, 110529.0, 25540.0, 122148.0, 106272.0, 155941.0, 65595.0, 137356.0, 66010.0, 64021.0, 108557.0, 152990.0, 155894.0, 19253.0, 161103.0, 141308.0, 141537.0, 114188.0, 106229.0, 176304.0, 142539.0, 178494.0, 174140.0]",all
22,Business Services - Large Cap,34,49,9040350018321.0,9040350018321.0,"[12141.0, 160329.0, 12142.0, 160225.0, 6066.0, 157855.0, 27928.0, 143357.0, 7163.0, 12540.0, 1891.0, 139665.0, 24975.0, 13421.0, 1878.0, 15704.0, 66065.0, 16721.0, 174302.0, 24925.0, 64630.0, 111534.0, 8402.0, 111864.0, 12635.0, 165993.0, 101944.0, 9225.0, 112111.0, 4423.0, 4066.0, 176092.0, 277846.0, 66368.0, 18699.0, 63185.0, 141277.0, 65605.0, 141913.0, 12441.0, 15855.0, 6216.0, 110620.0, 11811.0, 126056.0, 147988.0, 125595.0, 63172.0, 14352.0]",large_cap
