,,Aircraft,Almost Nothing,Apparel,Automobiles and Trucks,Banking,Banking - Large Cap,Banking - Small Cap,Beer & Liquor,Business Services,Business Services - Large Cap,Business Services - Small Cap,Business Supplies,Chemicals,Chemicals - Large Cap,Chemicals - Small Cap,Communication,Communication - Large Cap,Communication - Small Cap,Computers,Construction,Construction Materials,Construction Materials - Large Cap,Construction Materials - Small Cap,Consumer Goods,Electrical Equipment,Electronic Equipment,Electronic Equipment - Large Cap,Electronic Equipment - Small Cap,Entertainment,Fabricated Products,Food Products,Healthcare,Insurance,Insurance - Large Cap,Insurance - Small Cap,Machinery,Machinery - Large Cap,Machinery - Small Cap,Measuring and Control Equipment,Measuring and Control Equipment - Large Cap,Measuring and Control Equipment - Small Cap,Medical Equipment,Medical Equipment - Large Cap,Medical Equipment - Small Cap,Non-Metallic and Industrial Metal Mining,Non-Metallic and Industrial Metal Mining - Large Cap,Non-Metallic and Industrial Metal Mining - Small Cap,Personal Services,Petroleum and Natural Gas,Petroleum and Natural Gas - Large Cap,Petroleum and Natural Gas - Small Cap,Pharmaceutical Products,Pharmaceutical Products - Large Cap,Pharmaceutical Products - Small Cap,Precious Metals,Precious Metals - Large Cap,Precious Metals - Small Cap,Printing and Publishing,Real Estate,Real Estate - Large Cap,Real Estate - Small Cap,Recreation,"Restaurants, Hotels, Motels",Retail,Retail - Large Cap,Retail - Small Cap,Rubber and Plastic Products,Steel Works Etc,Trading,Trading - Large Cap,Trading - Small Cap,Transportation,Transportation - Large Cap,Transportation - Small Cap,Utilities,Utilities - Large Cap,Utilities - Small Cap,Wholesale,Wholesale - Large Cap,Wholesale - Small Cap
Beta,Alpha,0.017268198850947325,0.009159674540712712,0.0025014158710981423,0.003024915298566415,0.009029343622893956,0.009199465360856742,0.0029994759345492355,0.00256803756073012,0.009562163562192838,0.010053616661720395,0.07298532762055572,0.003699803466977823,0.004582304789542056,0.004879422350587332,0.01007988488313187,0.002793891494227163,0.0022401733204613287,-0.008049390716613439,0.00658505642269688,0.011736604279722564,0.009413834507740719,0.010334539210216554,0.024872384375551036,0.0030933367966573546,0.005400499741284123,0.008359961177017542,0.008370503917593104,0.012445633407967973,0.0064759452780001284,0.009093763924611331,-0.0008581695038179636,0.006330999648997471,0.005749060460041951,0.0059962367972221245,0.009353254279428527,0.00977923829820012,0.011142208557336518,0.006379741393915056,0.008738662940953034,0.009442963801934615,0.05080613009040125,0.005447665936047702,0.005780489044069911,0.04453680276473605,0.006262606874640381,0.00635524931133795,-0.008715449954209234,0.005968937868166517,0.0036847472996835023,0.003344037671145451,0.001625959496207324,0.006080489594341975,0.006055003272817239,0.17795693215617592,0.00931813366610955,0.00944074584565947,-0.0018258747672125076,0.006328213832261041,0.008088561184365638,0.007498511058830254,0.014974508670852501,0.004460093523335569,0.008619936680984593,0.008265211376076706,0.0088827607194351,0.01940726978327524,0.006831836038810572,0.006485230354160769,0.005770944342856876,0.006426388098849439,0.05712755211108406,0.006768128887717579,0.0068757231929756175,0.097602987612801,0.0037454391278534767,0.004225116275689698,0.0016841049160058145,0.006305484543069896,0.007066426423537223,0.008368375815435605
Beta,CMA,0.09482319550979978,0.08397428920108463,0.13820489763939076,0.09342481159870321,-0.23861218988809962,-0.2736738810175157,-0.37822853955363345,0.020403962248448995,0.06336302433902781,0.0696947868447084,2.7929114020675074,-0.06351473743514348,0.16767989133413616,0.16112105032761984,-0.9742435637043535,-0.08314935207344608,-0.051593034929613785,0.1917948633925736,0.079565347520139,-0.11651998584279484,0.13508799716986522,0.09924296864363624,0.18915778770258132,0.0550755202769657,0.12019270569435923,0.34520928083751046,0.35227462902433565,-0.2169249885768642,0.3467278547880203,0.0029929865911030775,0.38464019249717807,0.2779975853671678,0.06190027922155406,0.07006953808923828,0.2208441799296423,0.1583487254943374,0.2030385422054467,1.1217725718664022,0.003495015799853334,-0.0882529462787949,-1.8389814622099567,0.11126503929115322,0.09134605206505164,-0.5627462721723914,0.32097956167619807,0.3316678197034729,0.581579372805992,0.14122181767388722,-0.02706095689076944,-0.015966949091702865,-0.6961497999613371,0.030580653947101258,0.03814759159803127,-2.010253951209469,0.3560097851293508,0.35087677938851464,0.23568680003774095,0.633419495564585,-0.28800556155953916,-0.36784215264534786,-1.2667669181764698,0.1173965657093838,0.11111719504633762,0.29457166647589594,0.346210396239684,0.36916462006424267,0.08354786310827024,0.4185126334918445,0.0975771328902287,0.07081226777700496,1.0699150765784957,0.14792583115072358,0.17462418053852607,-2.155203926017121,0.025061018912266222,-0.04663860326520466,0.06932442911078632,0.14019813535253361,0.10207682838238487,0.04123280524474676
Beta,HML,0.44721208414741725,-0.053618169082938094,-0.10181417838724555,0.08189282145624158,0.26236743660986017,0.2801870202203695,0.38579708024779896,0.09378329169510476,-0.04609378224859741,-0.04911604976484966,-1.3923679158304503,0.18701675101771453,0.04347061424276025,0.05493415422074513,0.6349505276116889,0.022634827334374098,-0.006660713236689077,-0.0823190365049529,0.13333668084775832,0.10173443196534408,0.15904761903929474,0.21582891376139585,-0.33171502487645704,0.06362955031680645,0.05906344039599618,-0.2093069065497007,-0.21326854168793308,0.03523770019134238,-0.3836761770821539,0.21923496977119766,-0.219272327663196,0.08880254790548266,0.09850167126284042,0.12008966812641504,-0.36330908056616035,0.0852660568732826,0.09558780531180373,0.5718337041507012,0.07256850948060674,0.11391614434535728,-0.11312255549677405,-0.03904676833602609,-0.020196338242564612,-0.29189868493487636,0.0913263632724617,0.08261522022024376,-0.2806277904465547,-0.13016714310783417,0.10741902027423858,0.09834868702699451,-0.14807400071635676,0.04221051253687341,0.050884546891945916,0.32167707373807275,-0.4285115483880092,-0.4284634844128999,0.10972145969508597,-0.20700736520097135,0.08368859298097557,0.1741935524721846,0.21581202576840583,0.060045838389739384,-0.06187742591358692,0.017120980245823203,0.0008995389107233492,-0.30496751547782497,-0.1839991400017207,0.05906094668318114,0.03527014693797734,0.05324970559599069,-2.334457641201983,0.08576340640996483,0.08979486140157118,-1.0829876033072905,0.020794985993542032,0.020760027494779867,-0.017696900352007855,-0.007318374810746644,0.0023924076232801116,-0.7117131324599038
Beta,Mkt-RF,-0.21233404634334085,-0.12355960241637357,0.015253274901490626,0.02847832491304296,-0.04803863477635895,-0.04504945887632062,-0.09792021004143622,-0.0037233445700392775,-0.009486472486743896,-0.010541737888927758,0.7959678875167191,-0.04786339696374316,0.009895628922431659,0.011924501696541428,0.4572517588995448,-0.0546585342655121,-0.040321804119508774,-0.3217051523864977,-0.0038012811726222968,-0.006337047065108486,0.010028812706869814,0.018569298031261932,-0.05632183898444835,0.021811220316379,0.1252129945544008,0.1989355988196335,0.20387588452954059,0.012222815987524982,0.13057908739263932,0.05233683012207625,0.10037616845629549,-0.03413578019169833,0.04439119490561541,0.07445793210967672,0.05327181074222924,0.030368733293173866,0.04189863744028441,0.41079332608901076,0.014762457516612348,-0.015427130919467843,0.3420653669860355,-0.06824869974974435,-0.07439063853630679,-0.17971282735927993,0.09911964823121094,0.093172918779302,0.31255119171025647,-0.04957510590364088,-0.09534234184215258,-0.09582477669806329,-0.26219530202429076,-0.03303891773633307,-0.029563126438921516,1.3367069451504137,0.05296328967057966,0.04993647848850915,0.19749249044704084,0.002548764285665476,0.08675247979428972,0.14395516066446315,-0.3558285613090039,-0.09516929133271908,-0.11683825862412954,-0.026580681430075873,-0.025485418844858516,0.03783891092250799,0.030200219218658706,0.024992074882138688,-0.028422830597305954,-0.017525982724391508,-0.22629130474520173,-0.023521923349584604,-0.01730942380044485,1.3082124062221931,-0.10796156801923508,-0.1244084771079158,-0.08180171973752265,-0.026851885919353807,-0.05111440886802406,-0.12050644197611747
Beta,RMW,-0.9776276089576238,-0.06435137702826096,0.004100384702719831,-0.5594397625359707,-0.10103225102707841,-0.0987749561497609,-0.2213771540474331,0.02886007464730273,-0.024758829036823964,-0.007677459421059663,-1.1044677403497782,-0.14826770884880974,-0.2565223863383679,-0.22666500064622291,-0.025408091234272543,-0.2548768705969138,-0.2065259433170626,-0.8870095295611401,-0.12710324478211488,-0.2282564593691632,-0.3711542395080753,-0.3805003829463391,-1.0899564965533206,-0.0504484395020853,-0.09434220244646528,-0.03290287175696248,-0.013325237573186054,-0.007091234857674435,-0.34213638483996534,-0.19741505952352137,0.028608687626644022,-0.47878134393575017,-0.21171346578884667,-0.2581738657633982,-0.2112184848199954,-0.18411776845059769,-0.19989569684244946,0.5259204050301473,-0.03458462074560371,0.03174482203007657,-2.40619541053533,-0.14268378186579272,-0.13247582571115993,-1.9155552919443493,-0.24492895713482504,-0.25680802798073715,-0.1218720018082342,0.2605583296685441,0.06570057907465533,0.06889403299908249,-0.20515404696341386,0.14080321673348564,0.14599880943797167,-3.9974315509795075,-0.395975924533669,-0.37537365851519006,-0.6896410878220265,-0.7242377984826565,-0.6911606958658427,-0.7415211443508652,-0.29002029215765335,-0.11551596549926509,-0.02134900013360217,-0.16781747686503756,-0.1817883714261547,-1.2594012613384882,-0.1689712944262246,-0.31579072778072137,-0.2436422056960904,-0.2609983407054308,3.628157797764507,-0.16173476392242592,-0.1386741381229671,-3.251732349286797,-0.13788017948125791,-0.18890973362531693,-0.1352074258584762,-0.14303340274571716,-0.14636920451431903,1.26517508344684
Beta,SMB,-0.10918079097303476,0.030302205653355622,0.1779502718413088,0.04362061539171905,0.05827004390533748,0.06116925858037468,-0.003734082407671702,-0.0169329950717847,0.13377487611757355,0.13784780211753686,-0.9347074907254093,0.033033626438744516,-0.02228217037188601,-0.047819026332114434,-0.4120785923451079,-0.0018728398772568098,0.002904337250502276,-0.10615166936005231,0.0018614631200404848,-0.17829926489984405,-0.07235546275669036,-0.12252222224905596,2.3305082623577165,-0.1664008358990616,-0.06770897903645778,0.09993910379639251,0.10565936132691998,0.13197748490858693,-0.025445533472470732,-0.027278273008273214,-0.15711468937873702,-0.3001918251381157,-0.16021089957284693,-0.1919266734144981,-0.34184264606716563,-0.049291056385985764,-0.07655178216065818,-0.3704090906723504,0.07098296081233814,0.08351330382594944,1.1929189126100315,0.03546995993012433,0.009826106071791874,0.04946000743940578,0.22964420723712653,0.2423153333242673,-0.33206116728813934,0.1051706525245822,-0.013734690540230417,-0.01419996162155285,0.8598871488354491,0.11597689411599339,0.10421904482540985,-4.224477763224319,0.32656329995549377,0.33501114923559694,0.5302612412003015,-0.23095879455998652,-0.4246211723101763,-0.5305426014792824,1.3916599383744321,0.16339954866796824,0.041863394970543144,-0.021730901653513778,-0.02971729943571904,0.22136900188602573,0.11941197075844259,0.050512164182327304,-0.03109620614307481,-0.04138171303907225,4.208981292705357,0.09121428974582978,0.10413698348157946,0.7132520485280872,-0.01736743703433574,-0.03366261095448583,0.05997606214790088,-0.07611066664231353,-0.08025304868058776,0.8204659880679069
Pvalue,Alpha,0.0392203449624288,0.013896512992127949,0.6487082170244065,0.5431244751559929,0.14596606391175254,0.14939914900128906,0.6041561128859683,0.4034644315683211,0.01347780552417674,0.009294377706875603,0.1122259921317495,0.32388039421621106,0.35035762893358613,0.3127593738390719,0.5095466240986336,0.4498625489916841,0.5375254972838295,0.4643649800963566,0.16096358403210914,0.05103568726275623,0.0920453682538719,0.06896331529248012,0.2787786147873338,0.3139206746751935,0.30186907289342896,0.1544585253096704,0.16073310326997017,0.30571381092400657,0.4389509761100765,0.2069608034752759,0.8212415953862802,0.10770077915640185,0.18564385648598783,0.19030331644124976,0.34432345960420785,0.0692688722518895,0.03597741236728376,0.649340260282905,0.05236182607010056,0.03443705668858863,0.13003507019241434,0.13803380590295392,0.12337049707053696,0.2207176299310094,0.34027563875802835,0.3351535422748242,0.21345156309472857,0.26960814118898785,0.5225482250114344,0.5533972383897489,0.8996070843138346,0.05816585580965625,0.05851239729505066,0.020275781736025175,0.2546115372432202,0.2513665372415875,0.8913173445250875,0.2616083028717303,0.15147870583158232,0.2204198432657375,0.45809654449311077,0.3810001807125435,0.02630742093028214,0.04684898453513522,0.03467450591921049,0.33103746144375024,0.14177404309291408,0.29266177940642407,0.20894219621598034,0.16332469808713762,0.38330753193739864,0.13987492208292976,0.13953254531806872,0.24945841844785302,0.2310352516518605,0.20694859023295184,0.6238325345621922,0.10027711667284901,0.06351001401645742,0.619291329476769
Pvalue,CMA,0.8525345350382276,0.7106115066103216,0.680986529603768,0.7589544257348089,0.5294336325563053,0.4827732209724238,0.2861514956250582,0.9135922698138501,0.7876099098250404,0.7665173059557882,0.3199530280663628,0.7818473652762681,0.576471708856654,0.5858212633277977,0.2981826661135788,0.7132420671189382,0.8165235728733724,0.7757165277018356,0.781557203244036,0.7506114250963779,0.6919871236212282,0.7745848067379547,0.8928306087009102,0.7693851487978876,0.7071251644580341,0.3362123180475026,0.33437032518392296,0.7703393039363462,0.49844720433904155,0.994576745186215,0.09921718292733038,0.24790297163020567,0.8155700256012709,0.8022207047408478,0.7150897020755893,0.6296170635437137,0.5304885531636094,0.19244137392624208,0.9898412078594272,0.7455043619841524,0.3698916060191486,0.6199266586246266,0.6900693488356076,0.8001305252189131,0.42454575502539493,0.41120717419179564,0.17526282809932728,0.6692720456208414,0.9388330722294798,0.9631188055666348,0.37810983824935096,0.8757966397983059,0.8449853799096503,0.666455784835445,0.47672120824442066,0.4858026234068247,0.7733102725283725,0.06716754771603696,0.4034126972997121,0.32586803162748323,0.3055710375549537,0.7062384023908965,0.6380164895365776,0.24574684796839882,0.177357341389401,0.7624152487703052,0.7685990715041628,0.2674407396463793,0.728128991867321,0.8014602791634604,0.7895399860746724,0.5973454071173622,0.5390437310946408,0.6774532157400042,0.8956816828377911,0.8196795993227617,0.7415656135794199,0.5494623141191693,0.6602596133501141,0.9680955754104474
Pvalue,HML,0.16479413338608642,0.7067240880587559,0.6305313000184698,0.6692722437916481,0.2725864531450542,0.2542515795434908,0.08470870742799029,0.4286467793537624,0.7556019927456431,0.7396344294487379,0.43079778240195554,0.1962084924418323,0.8180535353540909,0.7678864443576697,0.28159205143434257,0.8737402668730032,0.9620540749810729,0.8460028058082549,0.4607583914482424,0.6594426390081891,0.45904217875674114,0.32311704779400197,0.7075345221574865,0.5907038670373447,0.7693284168996064,0.35437540131145306,0.3532657343933724,0.9399574326666815,0.23471863279096297,0.4294457706037599,0.13528427757134878,0.5572599580654194,0.5556760947665864,0.49558681577357744,0.34067845891488246,0.6799963190195344,0.63899207287642,0.2909723616841843,0.6746418651435094,0.5059762567200481,0.9301244615056408,0.7821776247946125,0.8886215916035163,0.8347787296789831,0.7180381937653412,0.7449334630324519,0.2984555390073543,0.5318812971766578,0.628636788565858,0.6510973599259946,0.7657025481226992,0.731896700153511,0.6787701307371863,0.9127556344795621,0.17444098653535622,0.17716116383404987,0.831338425663508,0.3405930638086889,0.6995965426610533,0.45972295799261775,0.7813564213958394,0.7594534794930311,0.6773204118316524,0.9145322923864714,0.995548675430386,0.6916570245902361,0.3040243713354533,0.803428822320127,0.8418114318494891,0.7639415597649659,0.35546665839952696,0.626673808594818,0.6158534068546639,0.739905914683318,0.8628143156841059,0.8719670808553304,0.8936246513724515,0.9604045851561855,0.9869426958650294,0.2735776048771675
Pvalue,Mkt-RF,0.2665946324267324,0.1454800882317275,0.9034519626394228,0.8025692315931002,0.7349686277701692,0.7573577430594102,0.4601428061961279,0.9577910415120718,0.9141376109530888,0.904437426243683,0.44845239007707227,0.5771145760900162,0.9297669960160811,0.9141308988083724,0.19219833308141765,0.518607019928267,0.6279827447388896,0.20234323779706567,0.9717505476695945,0.9631443737814811,0.9373305240616957,0.8861029540690364,0.9146138792801399,0.756307317344129,0.29603241416999093,0.13914379232909038,0.13597841037933392,0.9649275351063742,0.4956123023964726,0.7507487952965269,0.24934555555498616,0.704104837994165,0.654864731702528,0.47706550555176563,0.81391776113061,0.8046999974829044,0.7292715438910626,0.20199694806100504,0.8857020273549707,0.8794494010759706,0.6554970096314433,0.41638409510396523,0.3857394509271471,0.8288993586385417,0.5097083065395682,0.537057809570899,0.05208144884193177,0.6885652599857008,0.4701792348063287,0.4585433652280062,0.3749271274151156,0.651805920870107,0.6855231332051038,0.44386807540152406,0.7770964088440687,0.7907970579723305,0.5190022186299295,0.9842274860740263,0.5010017717270948,0.3041463547570598,0.4414951433336972,0.4144009722706381,0.18690249088930927,0.7791758345918307,0.790251160869271,0.9339853303232499,0.7762131308101555,0.859296445423813,0.786652859988278,0.8678771140080429,0.8800555694692411,0.822315820008527,0.870663318871119,0.49992555475245104,0.13216710580956173,0.10519342821433349,0.2988628507930237,0.7592052728916139,0.5563959410714459,0.7547302784505648
