,,Agriculture,Aircraft,Almost Nothing,Apparel,Automobiles and Trucks,Automobiles and Trucks - Large Cap,Automobiles and Trucks - Small Cap,Banking,Banking - Large Cap,Banking - Small Cap,Beer & Liquor,Business Services,Business Services - Large Cap,Business Services - Small Cap,Business Supplies,Candy & Soda,Chemicals,Chemicals - Large Cap,Chemicals - Small Cap,Coal,Communication,Communication - Large Cap,Communication - Small Cap,Computers,Computers - Large Cap,Computers - Small Cap,Construction,Construction Materials,Construction Materials - Large Cap,Construction Materials - Small Cap,Consumer Goods,Consumer Goods - Large Cap,Consumer Goods - Small Cap,Defense,Electrical Equipment,Electrical Equipment - Large Cap,Electrical Equipment - Small Cap,Electronic Equipment,Electronic Equipment - Large Cap,Electronic Equipment - Small Cap,Entertainment,Entertainment - Large Cap,Entertainment - Small Cap,Food Products,Food Products - Large Cap,Food Products - Small Cap,Healthcare,Healthcare - Large Cap,Healthcare - Small Cap,Insurance,Insurance - Large Cap,Insurance - Small Cap,Machinery,Machinery - Large Cap,Machinery - Small Cap,Measuring and Control Equipment,Measuring and Control Equipment - Large Cap,Measuring and Control Equipment - Small Cap,Medical Equipment,Medical Equipment - Large Cap,Medical Equipment - Small Cap,Non-Metallic and Industrial Metal Mining,Non-Metallic and Industrial Metal Mining - Large Cap,Non-Metallic and Industrial Metal Mining - Small Cap,Personal Services,Personal Services - Large Cap,Personal Services - Small Cap,Petroleum and Natural Gas,Petroleum and Natural Gas - Large Cap,Petroleum and Natural Gas - Small Cap,Pharmaceutical Products,Pharmaceutical Products - Large Cap,Pharmaceutical Products - Small Cap,Precious Metals,Precious Metals - Large Cap,Precious Metals - Small Cap,Printing and Publishing,Real Estate,Real Estate - Large Cap,Real Estate - Small Cap,Recreation,"Restaurants, Hotels, Motels","Restaurants, Hotels, Motels - Large Cap","Restaurants, Hotels, Motels - Small Cap",Retail,Retail - Large Cap,Retail - Small Cap,Rubber and Plastic Products,"Shipbuilding, Railroad Equipment",Shipping Containers,Steel Works Etc,Trading,Trading - Large Cap,Trading - Small Cap,Transportation,Transportation - Large Cap,Transportation - Small Cap,Utilities,Utilities - Large Cap,Utilities - Small Cap,Wholesale,Wholesale - Large Cap,Wholesale - Small Cap
Beta,Alpha,0.006465659299154612,0.018768325318815327,0.00756373493131548,0.0043538988943863976,0.008436599211964787,0.008475323689658549,0.07793075836534288,0.010881560797924898,0.011174534156219999,0.013093925370441609,0.002674490564654774,0.010214685123675928,0.010907268646191216,0.07222304449051599,0.003918836465770287,0.0028350546883633234,0.005460409329246647,0.00614006471913987,0.030481586874499915,-0.021543227214036065,0.005025094783554761,0.004791724958437668,0.0031147560816842477,0.00835449778628187,0.00922813551079891,0.06756351599778862,0.01265198085865825,0.009850886773027725,0.01129170843041422,-0.006100245313643605,0.002942109399043587,-0.003061566588744254,0.16167205551619387,0.004600970304112942,0.009341649495537707,0.009018792575248754,0.11961312539980398,0.009648862945307535,0.009570108706053574,1.40996550188676,0.007139431026786079,0.004588305421179961,0.18988740681454946,0.001537749583233582,0.002193599177595329,0.029235271997458363,0.008935640180252846,0.010019596038856354,0.04759386788494809,0.00742896173889848,0.006819328528821981,0.28064045859423126,0.009720298929917983,0.010744458629835361,0.023334776966448714,0.009098889271777141,0.009662091069780108,0.08413494291326179,0.006935863515384202,0.00687608185990204,0.17439522692758766,0.009368278156639211,0.015721845746594434,0.778413930646371,0.004114401194336478,-0.00014444257499357136,0.21838533900873067,0.003990747064020262,0.00406224817610769,0.01265269660649349,0.009607156275899661,0.008973382656201599,0.25963530333730156,0.009934933906790639,0.005350453080797541,0.042043418952029885,0.00622816602076867,0.009362719421417016,0.008844606887068628,0.1661982625252893,0.004836733397532518,0.00940563596944096,0.009555949498197486,-0.0005508161104394149,0.009314826403820059,0.009669092636945969,0.024896248371088992,0.009524180137482218,0.012519533991000083,0.0039124072591163505,0.007534891616303351,0.005965577495292012,0.006606852910985593,0.0008402933889174358,0.006984016734582433,0.007638224374557392,0.05349688412933307,0.0037120674513042686,0.004493387013857544,-0.00491466146924298,0.007186892271971381,0.007526350361182364,0.10744159797416397
Beta,CMA,0.44956277414514917,0.15331805000445045,0.14605600800357177,0.19563943941662618,0.06679733962793137,0.37113259367640516,-1.175899019152461,-0.25938834974426184,-0.27440028189247195,-0.4438102992995094,0.09140707547173603,0.025177685255877255,0.015200833514774026,-0.1813038977717873,0.02981058395165251,-0.08516375494707262,0.10648080137906292,0.11650095955088402,-1.4423682553897856,-1.3839991882300826,-0.10478193962954886,-0.09707126583497339,1.0068073463930047,0.0759104942031562,0.049524477961575074,1.4036847715594134,-0.10899348702173732,0.09317647589053889,0.03596828474678114,0.21934807778864063,0.07578197056013004,0.16331015227238901,-1.6231498379889655,0.9911763747998974,0.2011618916415589,0.326714307859486,4.2943434105613765,0.2905206079214391,0.2772782994242802,73.16234943140672,0.26109277499050704,0.49893935110059257,10.121594023671795,0.24511614945144258,0.24471866406247003,4.553951372345168,0.2803562568491872,0.27177859826151257,0.0929841400877951,0.04466734228359171,0.013306953161419638,-8.982064332955273,0.12372551613566055,0.13977177181690612,-2.233370896789529,-0.030092022855497315,-0.045388896981173606,-1.1695544090709395,0.10203379467728105,0.09085294742292757,-1.859209213605069,0.029181220933636797,0.6253978701684596,-26.7912638896902,0.22094312815681702,1.0169532088116235,2.266323211800543,-0.061297530633280306,-0.04298614516958049,0.8917864044348239,-0.01315272176499554,-0.013158303045582447,-0.6650871111594023,0.19879791874060695,0.0891303041439809,0.25726488856992336,0.13941114149896078,-0.12222900813856853,0.14856416510200995,-1.79835561980598,0.15674033843647597,0.11528859347091965,0.11208284251015323,-0.3513081155365822,0.2560095879274497,0.2825752003898943,0.05791523663902589,0.10849986650566093,0.7178521907521648,0.26477666829124624,0.4261591144253628,0.1284743144036583,0.08287204986694711,0.0017935532333159976,0.08728048156056414,0.10388604148243029,-3.244376608124517,0.04443432858170518,-0.006882166761511691,0.26827087559072904,0.09106209174395036,0.09434226534527103,-6.522439426711062
Beta,HML,0.07791396834482239,0.5094804327383922,-0.0742979493217636,-0.10297987618475357,0.14371498977053265,-0.08644134464548081,1.7656860081705852,0.2506779188714207,0.26025013781808837,0.13488504494560372,0.10743611297448191,-0.07918033366288875,-0.07129695657641963,-0.042919360362011036,0.1594889078331828,0.08848696752510662,0.0906921068682565,0.10981981959577394,0.18520997264393307,0.2650537953703373,0.02937150487818631,0.012589920420099598,-0.3821462296237674,0.10917032594060841,0.16883381085006552,-0.8180670716705217,0.09127736284638312,0.1438383964772784,0.18135784694360008,-0.007807269352968238,0.054749033934385884,0.0817398784119262,0.057854556380316446,-0.7162052473296485,-0.1367531907390979,-0.1650636415566721,-2.926939405265528,-0.17925810921012766,-0.18089767098365692,-3.1771808757625464,-0.2910909633486359,-0.5337850935035633,-3.081209710127893,-0.09152634133604166,-0.1109277578118236,-2.182498946268241,-0.0370367235022117,0.006058469525453699,0.23939655372557014,0.07009351517446169,0.08151985390134868,-0.083128388599728,0.08658712512748505,0.09808151141324647,0.5760808211018104,0.07890757068365746,0.08726777791483885,-0.3530060786118997,-0.036440447385918597,-0.02030198149963079,0.0017630408631968716,0.24212606453301458,-0.1819332312049009,-9.333914430408543,-0.15824970010239384,-0.5897498615220169,0.32593627418781446,0.1268450368636697,0.12156780245922229,-0.6158368354190605,-0.008043123925300499,0.02517904277008605,2.16128093392293,-0.36442457275618684,0.01353786544295478,1.6776213449604984,0.06345858311757571,0.19845374066539895,0.16205576259203222,-0.622929106772808,0.027422208267444438,-0.03331404445120906,-0.05860841208943768,0.6439728372362566,0.01640001369359544,0.003181753060802994,0.0651298155844748,-0.1101386454081659,-0.2944634171716704,0.024476455412924307,-0.010177868198908547,0.00375066777377806,0.02889065847996505,-0.08477904579973124,0.07901955982845285,0.07733096939605498,1.303726331173571,0.026195725019963256,0.037099551196907034,-0.012014895662877384,0.021737221665352753,0.016210218789902073,1.5859135010171108
Beta,Mkt-RF,-0.031056087073975558,-0.22735791006285566,-0.08069090018942847,-0.001940329070255677,0.26441064515285045,0.1110934873226074,0.8300893555684193,-0.05410072121335387,-0.056344143851869755,-0.0820086372494298,0.001180613739312302,0.0056848476238456685,0.003027005213314678,-0.05786244031542427,0.0200389262682763,-0.07010745703744378,0.03979426186661648,0.041277360051938106,-0.08134642226318155,-0.665114265840583,-0.0465273671466365,-0.03346721524610693,0.20721411703886583,0.0006544951960011196,-0.021268037698930202,0.005876951871927863,0.03278469557324524,0.017422499966409443,0.02679887279137742,0.07117990766232173,0.009225240299234756,-0.12708765828897345,-0.477070039729901,0.18185460444986895,0.08505584464055309,0.13421264222242466,-0.9274634825154427,0.20399710256979972,0.21352253395133966,-23.273001530171758,0.09365616799601585,0.09518655863818934,7.614350748968881,0.0063252169518128514,0.001153289432011741,-0.7980411497780119,-0.019718346861985286,0.02149443139656863,0.5295751301938568,0.04050493271725223,0.05533672205358456,-5.180369088088596,0.07310946068123646,0.08156262700191531,0.08254314757831772,0.04307154894705064,0.028174359222179257,0.09624154823338059,-0.05599467313771513,-0.057849298843449026,0.7791140269837248,0.1430187566486561,-0.0856956299181839,5.069268210790652,-0.051321990477528064,-0.045758493934251035,2.6918160030880465,-0.09597153585089718,-0.09592616794655853,1.005393348596725,-0.04034198595047143,-0.03352493925245797,-0.7673591895454066,0.08933521519315872,0.29486495471630325,0.5256346230792981,-0.05049886599008238,0.015082733665655415,-0.18790611945963057,0.09424574669404387,0.08513545225237784,-0.09792948113429475,-0.1076340440412943,0.3445518992421586,-0.037525512824335215,-0.0314576637679934,0.2525639986448482,0.007138260606106951,0.08770539082710044,0.012258625036769407,0.08856362246304854,-0.002738073983865144,-0.0014980356198893313,0.016113320056448336,-0.02412497133221923,-0.02608459760583406,-0.388638866651773,-0.08431315446302955,-0.07328022420959854,-0.0898985798977093,-0.029122640473591394,-0.03519083017979429,0.39365411274826584
Beta,RMW,-0.23087669223730972,-1.0945157899789668,-0.11171783715511811,-0.04732008499498389,-0.5167998960126826,-0.21925240900212264,-3.509225679151326,-0.1560809016236825,-0.1544114199653896,-0.29678180797099496,0.12760724382243488,-0.1318737365119903,-0.1070182664752538,-1.807604561219148,-0.17589919529761677,-0.007474646778748331,-0.23712433312740855,-0.24878657182440245,0.9911856159374568,1.0713541179276658,-0.21530388823384475,-0.18051137112540724,-1.5561508169140006,-0.21900287673193045,-0.15065831046507333,-1.4559656693874188,-0.313860332230285,-0.3878090291842377,-0.40910478860096783,-0.7218324625423387,-0.061394773469361674,-0.17213794716809416,2.6174025541272705,-0.25162264710808646,-0.32015977311062543,-0.26977235817524303,-3.6826394877666666,-0.1756097839392595,-0.1447759860283742,-62.47785032720087,-0.37089405759761224,-0.1725595614634437,-9.214652362454393,0.010182946404394618,0.046752587323401165,-2.2766864266296847,-0.6770421574571271,-0.6248451488051889,-2.425318455554438,-0.22675059144352397,-0.22358149556672735,-7.502870873375781,-0.25388404664610437,-0.2563558435162221,2.0002771550276903,-0.1219659004722393,-0.09475680620886848,-0.5916688456493379,-0.16781237678149405,-0.14967104285601146,-1.2398017031233954,-0.5705440044854493,-0.14360773071724273,-10.023441937625336,0.17875542104836295,0.3937931439353955,-4.569955405079309,-0.017887958505060756,0.009656550754745603,-0.7396015174422813,-0.03810100923939765,-0.017091225334629024,3.2029988585127644,-0.5484098588040036,-0.7526815617669262,-1.9460051138154908,-0.49724205054489995,-0.7084905950532271,-0.4505695322599757,-0.9556698941098511,-0.18604271517042106,-0.062171434183635715,-0.013263406022915992,-2.381156250977849,-0.1840947934250009,-0.17201506523654256,-1.825301464307352,-0.3021960806107408,-0.3719499171830952,-0.2782370278991834,-0.37987153808543,-0.3075199094725313,-0.2956513822247899,-0.3510719049880792,-0.20230866192533925,-0.17197719797336414,0.4297333094254501,-0.17709760505776997,-0.1794865909615499,-0.5175843783748613,-0.21463516105333375,-0.1795059721822165,-2.2102832641560393
Beta,SMB,-0.112859546391226,-0.11973032971097262,0.0011086785622656421,0.10879235781526776,-0.08177936520076715,0.16326610543634504,-2.663867050121708,0.02446398617464905,0.03318933610119763,-0.16222084118796062,-0.024919608153108886,0.1309283131723248,0.12921170218274292,-0.31305530180237684,-0.02257198644886316,-0.0052187672220867926,0.006400905811242128,0.0009537185444649599,-1.1994993252790316,0.8457182712444058,0.0392075898817711,0.05482366026752469,-0.13077040672288173,-0.02766947456397588,-0.03024785259512221,-0.030773606545517983,-0.21528379248200732,-0.1116441536604711,-0.14984520705723142,-0.5706957763883381,-0.15135719682726556,-0.26861853102074396,8.001049098234022,-0.21293058543598625,-0.057966441198387814,-0.1816092999807887,1.979633997409774,0.07204831888168552,0.07581934275092636,34.610153268597834,-0.016503304601434756,0.23708916340581357,-11.312735978983856,-0.023345434050122505,0.02013437137348464,-1.1414163003441604,-0.31407857912646236,-0.3282348467633019,-1.8922756420845588,-0.14755822450908215,-0.18001127427839445,1.8679461423093844,-0.08147917360526997,-0.11040829633446345,2.1839467576929663,0.027481364872102634,0.0302217343783192,2.454309177936007,0.05200458618611621,0.04732891352362705,-1.0387846035720651,-0.012318074858185434,0.44625551622978676,32.32492412447728,0.07689256994547553,0.28093494641796746,11.029843639147852,-0.010019515709127007,0.0028605277963969535,0.3973728954245748,0.08288433703406237,0.08066751667704954,-2.761652650639985,0.22523989992134602,-0.3757812772350775,-1.2181213796650012,-0.24037242837402617,-0.19610731237788626,-0.275202098975981,4.990210349600853,0.009150046228461235,0.04501537459742466,0.056899351065045345,-1.012646329277442,-0.018556288408613585,-0.011105802585014845,-0.2623717506901031,-0.014298521563094971,-0.26703157945868,-0.11369515683431222,0.017877412268160964,-0.040549286014607305,-0.03935950471763624,0.13832140527682502,0.08461018314613711,0.1308494795098908,-0.4533867467302051,-0.03863707800286266,-0.07187114047301162,-0.1383348868762654,-0.1232228217592693,-0.10346093217672322,-1.302216094378443
Pvalue,Alpha,0.25431089617356295,0.04098327360553691,0.039098820288917806,0.44692739748278787,0.3241971171309974,0.3577284512142641,0.03577691285921573,0.08171973824395252,0.07939124884401735,0.08077118130665892,0.3757482118066602,0.013566979802733086,0.007996966437774988,1.047897570182754e-05,0.3366858285828962,0.5469813071429503,0.30235528793239724,0.25163291738888444,0.3235114464780686,0.31762302491516436,0.1981559842727751,0.20480224512160802,0.8430454890097129,0.0835024504416903,0.06492645731884354,0.017397462817265594,0.04431908632927106,0.08150580044389821,0.043397354448835974,0.3454407412097398,0.35321089160419783,0.6656224254974473,0.13045080352787286,0.636367921959228,0.1044341390833841,0.12458599985290897,0.01989993248215916,0.09170307155461713,0.09965378623424993,0.18037906436905354,0.3604576162158958,0.6536222612417966,0.280412753446408,0.6129408082329895,0.501841040900487,0.13163588862442813,0.03609327215440966,0.020133427526777617,0.08405194858076186,0.09697739238021551,0.13540550525383332,0.1534244189698082,0.07647354119412486,0.049442187199971975,0.3782989734292034,0.047920004792075054,0.034155352109613735,0.03838398646947165,0.06690572094647801,0.06679625791456092,8.596405366539708e-06,0.20133020978617192,0.09260781777883627,0.23547095843124818,0.4054138444981792,0.9919649360120155,0.23753240162769262,0.49658201804513546,0.4720443286422974,0.49550265191041465,0.00551141715474949,0.0078269662357997,3.8018069136028555e-06,0.24766142498665628,0.5540418964129659,0.07018461756915563,0.24662665135668965,0.14772845195301984,0.44423851031033557,0.05214067355556195,0.3717868109718324,0.019558613643049148,0.014151524705389596,0.9686250976593389,0.029695626111940474,0.02370139087793266,0.2973898397141575,0.04158934711671259,0.195433698795913,0.4276425422689355,0.2756454855022985,0.20914870055833193,0.16151548142036523,0.9094265067256725,0.1299938892942083,0.097027176805567,0.019633868173892875,0.2515966776070486,0.17227301646214116,0.31481653896542,0.08011523204584248,0.05597243629812553,0.21927346830876968
Pvalue,CMA,0.18631763984559122,0.7836782063410865,0.5125372653171852,0.5759540266606402,0.8982620373981179,0.4979686145156319,0.5920087894133685,0.4958334358970746,0.47955957121239856,0.33161308847786386,0.6397511643682173,0.920106511841786,0.9513583507123579,0.8529004589743352,0.9047183933736268,0.7793481863410728,0.7418181518506897,0.7215471061381611,0.44445763893506296,0.3058634642552961,0.6600881513781358,0.6737547304017164,0.2956825810758914,0.7962415481719416,0.8707221287615952,0.41600354139527973,0.7757691391347925,0.7867247462377279,0.9157444280446481,0.5786019840606258,0.6953730440617518,0.648246594025147,0.7610035987740129,0.0636531418472903,0.5661799875118952,0.38871464956554946,0.1940542878271044,0.40485235449688006,0.4339068169924031,0.25514468122150796,0.5840207269592006,0.41317777572260694,0.3338613872248697,0.18788269993897172,0.20737356382445232,0.00010092677721996859,0.280075187983668,0.2914313016056586,0.9550287282452025,0.8698769193278189,0.9618756162774673,0.4539340395521103,0.7111684414564943,0.6744333013909076,0.1683007087416457,0.9143543490700925,0.8699674030184069,0.6359878499075879,0.6579603704263044,0.6907603506297494,0.42669383668287764,0.9479760407919761,0.1835357863434985,0.41735450945965913,0.4647162020125183,0.16346833899816202,0.8058052923226424,0.8642680771878031,0.9008543341561968,0.43198055248829714,0.9499550212188106,0.9486813038824342,0.8423290606169541,0.704671892535313,0.8687820419265143,0.852002502084982,0.6709083394057174,0.7565969655891827,0.7920601263380651,0.6615915823948249,0.6355977025030246,0.6374700573026837,0.6353683463388604,0.681553814007391,0.32601382653074307,0.27713094092756874,0.9683222036102601,0.7027152420910108,0.13797227389132963,0.3711188445841872,0.31299233545012495,0.6575734974899727,0.7733695913656302,0.996830231345806,0.7562395368425412,0.7110459056116218,0.020594432288922063,0.822073651935351,0.9726524250581883,0.3692378101565954,0.7157883118534936,0.6938339995578684,0.22240958731947605
Pvalue,HML,0.7133841037069455,0.14796837828627127,0.5962957104510305,0.6397070899986235,0.661932710501987,0.8129770762787065,0.22878537542508343,0.2957457734315239,0.28677094655440366,0.6386882711010431,0.3947520320977611,0.616139265696031,0.6492803891905652,0.9443640260733018,0.3092096795571571,0.6603065654661069,0.6555587368867524,0.5933372533388287,0.8758630145141354,0.7350821443162263,0.8445869940187462,0.9308085365712238,0.5276596698064011,0.5550703453481702,0.37819562588712063,0.45101545349299677,0.704533629854535,0.5068576025707343,0.39680546885275614,0.9749170607826438,0.6529064077290336,0.7703701638065625,0.9889443691769422,0.04427045807919006,0.5352605407063331,0.49595050984459865,0.16665968863106542,0.4138383333695208,0.41702143172265216,0.9372794908675451,0.33218943302424253,0.2054663716790053,0.6693417189229939,0.43372408594378165,0.3691853290388767,0.0031662097459242903,0.8202892964523922,0.9702045517309833,0.8179065108913001,0.6828197684555426,0.6416268779738119,0.9912023848529501,0.6803601495398843,0.6393421506126757,0.5713457498922099,0.6539732653347394,0.6169008037128348,0.8202889998982595,0.8014881036036049,0.8875882860053823,0.9990431221827352,0.38982297860939064,0.5745879209154481,0.6826736411968207,0.40520907274924856,0.3001370816753042,0.9640232943052496,0.5739877827647462,0.5755231738421718,0.38836242765109596,0.9513438880469645,0.8447682387714791,0.3047114649842915,0.26996027467045886,0.9697939828963931,0.06781733711607466,0.7584443166004013,0.42397631870738495,0.7003486946164331,0.8390300274370827,0.8951132011135475,0.8285707121244993,0.6934060462148869,0.23247730330132454,0.9202271436756686,0.9844555771736598,0.9433967297474211,0.5380529280601609,0.4343193684771206,0.8963885758290181,0.9694021466405451,0.9835818949144509,0.873182640688027,0.7653095936805853,0.6550532883824566,0.6611110022575045,0.13755134991555035,0.8330642410387652,0.7689304313327066,0.9489728664209984,0.8900863919068935,0.9143488365292729,0.6366396762190399
Pvalue,Mkt-RF,0.8069295143610621,0.2775961917585908,0.33422400607832436,0.9881758575260329,0.17745989573319898,0.6189838850808915,0.354243305218249,0.7043111072898547,0.6981106841556575,0.6315613746882526,0.9867054020208983,0.9517728530123073,0.9741202934363652,0.8744274424089906,0.8298582444659418,0.5385920446773591,0.7422992298981224,0.7359424168159852,0.9082422420004114,0.16850044968793557,0.6020325664023578,0.6982771113998287,0.5650699222787314,0.9952557359871987,0.8519405960334904,0.9927377301606137,0.8190092409326046,0.8925174417666757,0.833275248440826,0.6302345003828407,0.8986840701301657,0.4062406991285269,0.8338621157072054,0.36154022179801315,0.5171583321999624,0.33750040701756334,0.44663144827131374,0.11906587685380661,0.10840711346638421,0.333474957510577,0.5999132462271436,0.7110440312138244,0.08627898115721412,0.9275357153917358,0.9875008075615143,0.0684214102806761,0.839002471500957,0.8257719204483902,0.3979204776096307,0.6916226403741408,0.5956479651146129,0.24916929771576674,0.5590922125299571,0.5128276383613315,0.891585880727371,0.6810548318162948,0.7861177050081087,0.9171342002579495,0.5165430322259672,0.49888925059212885,0.37379617799318776,0.39351265047198425,0.6749492875824022,0.7247803359728658,0.6500299046715556,0.8839765431061366,0.5028856122171463,0.47501662482788465,0.4581032964129136,0.01869316478224858,0.6072889691984233,0.6615035715576405,0.5401017138591256,0.6492296807292921,0.1924637789508243,0.36268417632920724,0.6810394011423271,0.9186339913807685,0.45677765438470297,0.959035204539568,0.4919794545973045,0.2856142214821449,0.22466252647308307,0.2830520210891643,0.700337915431781,0.7462880957817184,0.6438045524890526,0.9465265434956976,0.6694991891992751,0.911135016186358,0.5751635588120352,0.9798672649519726,0.9889071615073532,0.924063922691293,0.8187451430115231,0.8037991542360733,0.4562036170705308,0.25520101714816384,0.3302018415322401,0.4215585376682096,0.7558139916336615,0.6949468545120495,0.8438138391953856
