,,Agriculture,Aircraft,Almost Nothing,Apparel,Automobiles and Trucks,Automobiles and Trucks - Large Cap,Automobiles and Trucks - Small Cap,Banking,Banking - Large Cap,Banking - Small Cap,Beer & Liquor,Business Services,Business Services - Large Cap,Business Services - Small Cap,Business Supplies,Candy & Soda,Chemicals,Chemicals - Large Cap,Chemicals - Small Cap,Coal,Communication,Communication - Large Cap,Communication - Small Cap,Computers,Computers - Large Cap,Computers - Small Cap,Construction,Construction - Small Cap,Construction Materials,Construction Materials - Large Cap,Construction Materials - Small Cap,Consumer Goods,Consumer Goods - Large Cap,Consumer Goods - Small Cap,Defense,Electrical Equipment,Electrical Equipment - Large Cap,Electrical Equipment - Small Cap,Electronic Equipment,Electronic Equipment - Large Cap,Electronic Equipment - Small Cap,Entertainment,Entertainment - Large Cap,Entertainment - Small Cap,Food Products,Food Products - Large Cap,Food Products - Small Cap,Healthcare,Healthcare - Large Cap,Healthcare - Small Cap,Insurance,Insurance - Large Cap,Insurance - Small Cap,Machinery,Machinery - Large Cap,Machinery - Small Cap,Measuring and Control Equipment,Measuring and Control Equipment - Large Cap,Measuring and Control Equipment - Small Cap,Medical Equipment,Medical Equipment - Large Cap,Medical Equipment - Small Cap,Non-Metallic and Industrial Metal Mining,Non-Metallic and Industrial Metal Mining - Large Cap,Non-Metallic and Industrial Metal Mining - Small Cap,Personal Services,Personal Services - Small Cap,Petroleum and Natural Gas,Petroleum and Natural Gas - Large Cap,Petroleum and Natural Gas - Small Cap,Pharmaceutical Products,Pharmaceutical Products - Large Cap,Pharmaceutical Products - Small Cap,Precious Metals,Precious Metals - Large Cap,Precious Metals - Small Cap,Printing and Publishing,Real Estate,Real Estate - Large Cap,Real Estate - Small Cap,Recreation,"Restaurants, Hotels, Motels","Restaurants, Hotels, Motels - Large Cap","Restaurants, Hotels, Motels - Small Cap",Retail,Retail - Large Cap,Retail - Small Cap,Rubber and Plastic Products,"Shipbuilding, Railroad Equipment",Shipping Containers,Steel Works Etc,Trading,Trading - Large Cap,Trading - Small Cap,Transportation,Transportation - Large Cap,Transportation - Small Cap,Utilities,Utilities - Large Cap,Utilities - Small Cap,Wholesale,Wholesale - Large Cap,Wholesale - Small Cap
Beta,Alpha,0.8733682996203702,0.9837142025505784,1.024978033054302,1.0626209462141476,1.6715986496185444,2.4481213508532864,-2.6023857050173067,1.0141140168560308,1.1179526622239735,-0.30190953479853794,0.6591550232295361,1.3587796204256162,1.4453576818752976,-3.713665600661125,0.8042667567866907,0.9260999301586592,0.9531201993771508,0.9967588865577579,-2.6340953494765427,-1.5866708382851802,0.9138071569734867,0.9542930926856232,-0.5498942679057528,1.0444361342061905,1.1898113474643321,-2.102904332100357,1.4636585609155237,-2.7656264749287565,1.4312151291365403,1.6235267756866476,-0.7223147227075798,0.6514748012305225,-0.40104652458937745,-6.170439902771159,0.6574120622598193,5.476232631178335,1.886130623298356,-4.065722100586816,1.7281800750662897,1.8152073469249526,-1.8706215893652187,1.3472320869447143,1.4105207257859447,-3.475614188275229,0.5524703910483415,0.8128050322090079,-1.9747141419654395,1.1615629350646988,1.507009393559936,-2.158272469036192,0.9262883171585837,0.9448537624781939,-0.5064922143672399,1.2801929960946468,1.3640307938420584,-3.2791192759190912,1.108251018376367,1.202625356968881,-2.4906700398437662,0.9861897320036301,1.0499124454776045,-5.272389917573152,1.5282803426544775,2.461506609215913,-1.001039677098385,0.8884335132937169,-7.916415466658022,0.8968697222376489,0.8910128459331685,-1.8300868991774508,1.1070552768612743,1.2313694814541964,-6.709754352014085,1.3887480181183076,0.7571911146064226,57.63809557197044,0.9823414440648485,1.1287583954309017,2.230460130064812,-3.584384866068233,0.7130376997869176,1.2790438195999798,1.5323658650984342,-1.1488490180157322,1.3370879719337048,1.415256830940576,-3.1311719982234534,1.2546687580313303,1.5888428596692141,0.9396754151015504,1.0096322796368007,0.972951683575714,1.0628824480972954,-0.9142139406916288,1.0943078261750272,1.2498333928158636,-3.5991886372938495,0.8497089128713227,0.890376176467483,0.1330303875937902,1.0400774781672328,1.1434799454777487,-3.700333321697722
Beta,CMA,34.726211705263474,10.196268069859567,9.264673129660034,20.098991757937377,-15.776603045176644,36.74444270036907,10.096557028354068,-0.04205156932467119,-1.402752590362316,-8.450072892503082,7.045581514225823,-2.591739849475651,-3.0117546974274205,39.21775447796494,-3.278457160159761,-3.3207417948882116,5.359391145377423,7.457723107608382,32.01198784453368,-139.20460147234894,-12.067007936236779,-9.818299362134162,-31.074127647644197,2.6642858900816497,-22.419023524406114,-8.4296698186443,-18.428071532570957,12.187405699232464,-2.9793170508056352,-8.019174766809712,16.47914097914617,5.636941534631882,19.134420888011043,46.90615673096885,72.1270678547022,874.7888632929481,109.13189376553929,-31.91927427274793,8.289493376739472,8.883442204592102,-53.64837355998225,9.359438197978754,6.612673681011303,-13.894948648027766,24.133855833222018,46.59232056261673,12.50526191599818,23.124018904589185,45.309578302436506,-8.188946677935055,-1.009074621847934,-2.775661885994613,-20.13100684060596,3.993221573512499,6.3179141164431245,-1.0858316467999742,-2.705180865833503,-3.167931588371321,-3.503776976633172,3.835810982142017,3.010406741806005,-39.9561661402861,-5.320688878407579,54.95849531778885,35.767511212051076,27.18206465509021,-77.46148900096537,-14.785080938606567,-12.146559830672517,-60.3157898548016,-10.916526312804281,-10.006215839350526,-21.25358773153929,11.286680081084073,10.9079976455681,481.69742860416295,14.308495830749148,-15.573101674502322,49.641613995013,-40.80869536568633,3.4653442443955247,8.513210052794756,-32.36916338934734,-5.841649641893708,-18.327660417614748,-17.760951541700138,-41.96794333683236,2.0514004088996005,85.15758151289057,14.420117276097674,34.40808588308973,3.4589569205018424,1.357579967768232,-7.810665048624216,12.519516674327187,11.827084378792295,-103.01416957587126,2.0979500838085716,-1.1580564337300263,10.25687525581822,6.5856712568168625,7.680370287463171,34.68030407915416
Beta,HML,20.132388457216052,10.085956413553603,2.496198631969598,-1.5975663977405183,27.03333639638984,-19.2663815942163,-20.140124491285146,18.569878494494407,21.475832934286984,20.319527323544428,16.7983233820572,-0.4588577332054673,-0.3098250695644462,-44.06230328256872,21.612461353120917,20.75584651779668,11.845140297374325,10.347806726564905,17.443968555906665,22.362424765507278,1.668691798824855,-0.4284135712943219,28.5612973616524,19.718465838134346,39.98637861359741,-3.2756572478171853,29.74285354726079,-18.06853513720737,32.88089475710191,37.79184069898251,4.567391161978133,13.22085577407772,1.1155785577901847,-107.59229804527327,-45.33019796248204,-353.87014967427956,-75.62410461596154,-7.360910464384083,-3.2668680914817756,-3.5573240248250704,-4.530599329365199,-5.34752009486474,-10.506859154899603,-7.709514606791015,-6.866947059611273,-15.259762899778643,2.5400217950672435,5.4343398832696606,2.613892280162067,-8.50360064058038,16.818050560000525,18.801371440832426,11.726325452037807,21.035855375280846,20.362529381111624,8.779189453614428,16.475870213434092,17.015657034332367,-16.91818266558834,0.752821206883328,1.5118066151057281,8.726877377973693,42.16063376573589,-13.498735087963357,2.7501178702185998,-6.644369095786933,3.5496291388193817,23.884986722937438,20.509480513109374,54.80709027895895,7.365815918697735,10.265444677840243,-11.715559900858551,-26.235963889623704,5.769123524157787,-1300.3512772750205,14.228253265772409,33.58798536439173,-59.230651725943574,-9.746491820534821,8.752431585988461,6.323617871005025,7.96548762954973,37.74907025739454,20.0119243437021,19.478660656486966,29.430022058832392,5.096629278009339,-39.57739996263267,14.11661205155638,8.256977688164582,12.931184227291068,13.194798145272971,18.009555256243353,10.191369689192046,11.69061949949744,37.451341982872094,5.62552773014491,4.455066262347365,4.2022712874611425,10.940520704156002,10.27970871869194,-16.76348816167217
Beta,Mkt-RF,-4.914983522616491,2.9944114718331902,-9.861767462291157,0.0800376389733577,7.2471804764311045,-32.32533637061259,6.339209188215976,-1.2273489985822856,-3.373152602235785,-1.7770157013868864,-0.2366420548373676,-1.972546299043721,-2.208433078936464,14.61157055680295,-0.42356787144752683,-4.142710764720313,0.2666831912445442,0.08166953859219905,19.068118064208193,-32.50991283346842,-7.129116319814719,-7.973087280088413,-2.800860858909213,-0.8987410598147609,3.220966532116886,5.615146773015205,-4.2302955919853265,29.582285751145786,-4.5846377900992525,-4.6816509325192825,0.008905457343580543,-0.2787621032096059,-2.7192062188806587,-55.5586051633512,14.811562482152212,156.25809057664407,-13.666481456243307,-9.310033677836739,7.225072683703963,6.769415159480873,-4.065714600688062,0.6783200524970481,8.657836606670749,2.4770328867500457,1.6591174350443472,-6.06599502226655,-0.9090461401243879,-1.2882744962308603,-1.7577835591203546,-3.7709131430880034,0.8440423443151963,1.8298907397693644,-6.403597260120304,2.8218061075687597,4.363588585037951,8.864297534137684,1.4244555819128144,0.30827673753261964,-2.9212347735788837,-7.335913520554566,-7.863938600889121,-9.50680949642208,11.83779098673449,-15.487671376438575,22.22744352580376,-8.162097611880839,-25.859523952076042,-14.038650933504703,-12.44296743896805,3.5223257628770828,-4.042566346370826,-5.215901808896989,-3.3153915618882355,9.656075681290584,25.173715435494664,594.6902273855519,-5.163283946935901,-0.5805126407896806,-19.537303127063772,-63.387026693275054,0.9667580084571461,-9.665867707088855,-8.074648158038205,-3.1001654719342855,0.40845769152779726,0.3108786918759062,12.716072232950408,-2.6644955631287512,4.230083247071697,-4.840148139801343,6.315133331463185,-2.13446333436549,-1.4388062323499309,-1.3320869848253327,-4.411431328762559,-4.522305749899088,-25.369032333905324,-7.107505482592008,-5.880921226029486,-14.455690858493972,-4.142764657864347,-4.857509997175313,14.124232949827004
Beta,RMW,-15.131612943386386,-47.54388134422817,-6.35739984847352,-4.559496443477174,-70.44406129844326,16.286139523405954,15.951132383997908,-31.8013152543555,-30.462827699089836,-35.251758335029834,9.47960397521869,-13.61180932267142,-12.068903906120894,9.5475219287651,-16.974388219746093,-7.055493326008213,-21.468304370707568,-20.900057804335866,-31.223908470365437,-0.37796657951430934,-25.465740021452834,-23.850764158289294,-47.62699165457202,-12.312661717383584,-11.84685889892041,-37.65997525368024,-28.782552901606824,-84.2445511461861,-31.489893988902512,-34.0669397734835,-63.901062387555946,-4.066429413595838,17.784995880897593,95.76350367504456,3.21040667675977,-405.6780363819872,-9.232615334285544,39.073278247899765,-6.4583101656433435,-5.192981996243365,-17.081303061369567,-36.55045537457593,-24.65862891299818,-74.84462680201014,12.525346706741042,-5.4419107701306855,-18.035915909212182,-56.128120288796566,-78.42287994639761,-36.549163489680055,-17.29589807452965,-18.94971690322145,-13.359599384312109,-17.774539458396706,-18.975562917392637,-20.65910036150348,-3.6363443078593587,-2.2936334504797724,-39.11935530841082,-4.697488867269897,-2.5706205292976403,29.63063326007955,-61.77171586407292,-25.38493397343006,-33.22770742364963,18.892298582205697,-60.18525670916461,1.5073882757995054,2.5540272935195816,-24.383726038050508,4.693734717269215,9.206221708248748,-3.577677778785631,-36.73687203531507,-47.996021527553545,-1677.0886732707677,-51.35917237611062,-53.860871818240604,-1.2884033939673145,12.10960491384995,-5.334076904616833,-4.2935984056638,-14.989472773242438,-88.95689437573822,2.5547828902006158,5.465844922946408,-44.85181109105559,-21.365245622868404,-32.086725045974205,-26.133668319714683,-36.30821857466357,-24.4244892235102,-23.358751074483457,-39.17804333414133,-12.151886779232026,-5.041262162006966,-77.28365660905848,-15.838533191145295,-15.026960196350654,-21.349182893734476,-14.160680152471652,-11.979364948310028,19.14008543833497
Beta,SMB,-12.37881808053439,-7.511974336361355,-1.2629521386705114,-3.6966972416410417,-11.351412094780752,4.151360555370154,7.326025111459631,-2.6509351051191246,-1.649988546846326,-25.871696718704644,-10.087090557352777,13.152937949815229,13.587160193050703,16.594025665202423,-6.026094531082547,-12.896953809034988,1.5274323618796155,2.473440412271751,-43.84166633847016,27.30202896955632,2.5773378737906736,4.171093077647323,-22.387695543316386,3.2896129122095283,13.455212594695016,-26.97808274995213,-22.063590002027183,-125.96034249379382,-19.26183657071431,-22.87071611085193,-59.98469174676441,-15.630250914846627,-34.249207710219885,72.40079134996908,-0.3273490004558485,-219.627798061361,13.952366216120364,39.22178715691068,16.2925651580693,17.742050670050645,78.87544799447349,0.8723840322145522,-2.4454991256882788,27.11128494498679,2.677935900726559,4.2725562549941625,3.2306002681316284,-32.55932002587363,-44.25841701488125,-14.971889806756536,-11.045346624226058,-11.828326213055856,-10.578604586574539,-9.117364811447638,-10.462613394866107,-9.313213713643584,5.548623533571051,6.336009696997076,1.9876388440267565,4.411215484852782,4.81211599614716,64.82855387171239,-9.325703245825508,13.47213414558917,-12.610897169956898,0.2015986776264287,-24.769916905570486,-1.0792714758107236,0.6068517242451037,-41.37415732232667,10.941634969750629,11.647510963492696,-5.90668204291341,6.2678574956684665,-43.20215477438038,-1378.3481651168354,-28.46394290408826,-20.859578187432163,-4.569746662143817,34.83823129645799,10.525177782454804,11.353916023487471,16.109243154796488,-42.89428414913678,-0.8705284347258331,1.134312267980075,-40.4956036745945,-1.7317632211218505,-25.721235044166754,-5.062018812101325,-7.471149273394088,-5.280378892906471,-4.04909067511178,-19.066069678108214,4.237774115633054,7.380273986756339,-24.467335998658122,-0.41515948419902937,0.22890327545384137,-1.0857491601635698,-12.345031165193248,-10.620570228777382,9.613090935273632
Pvalue,Alpha,0.10432705042497206,0.05211357673685664,0.0025335889332657067,0.032769604270047006,0.022200153148069668,0.2807050477369696,0.00300073323167239,0.03286510292120219,0.01956177291667337,0.4254950913212855,0.024897307008187704,0.000414987986777884,0.00018578997549278101,1.2976994350668923e-05,0.04589199136888701,0.005948516921226243,0.046042647200669126,0.03660959668539591,0.0006494197741475419,0.4191170147529064,0.008510144714812635,0.005645760471735608,0.42569893590578123,0.017094097926314156,0.033046502232689776,0.008479554102286796,0.013086848768744249,0.028748926818202576,0.009522821838598964,0.0034434102333639844,0.24231728906396383,0.03253206861278413,0.5515001610761784,0.0003063181073276204,0.4500271788347695,0.2875856141245212,0.10202550172025265,5.787401409273155e-07,0.0003117402681932537,0.00017057140146302998,0.11934090116920101,0.04067090783069908,0.12910359784903505,1.19925374364255e-05,0.048204963646349575,0.010460969131214129,0.00018623138868925485,0.006479023056285399,0.0014391141911432191,0.003093672470511799,0.01898433716247893,0.02085321130193365,0.2732999137689848,0.012214313785031265,0.007624523889865932,3.517504832906244e-06,0.008259280539193357,0.0038007024677670603,0.0004349412291291419,0.00488467354207612,0.0025471504811729515,1.109432305196179e-06,0.04681976993650454,0.009735091044335249,0.3739110158361352,0.042055474823807816,0.0006718458486886035,0.11798466400828624,0.10709192831453745,0.029960498075678046,0.0004923048642244401,8.075576547539633e-05,3.928963657716091e-10,0.08878006801346104,0.3756909430841565,0.3822685197417899,0.04877610848465082,0.05625301816002808,0.21403455128387264,0.007288011062746196,0.166715520546765,0.0004406628891190354,0.001789651772879829,0.09739487412866911,0.00022855364153449495,8.599508164125371e-05,0.00028258446065083356,0.004390879111057372,0.08018624843392212,0.054951021973015025,0.11087040067263004,0.01559920016986143,0.008108298822456646,0.08296538048707874,0.008953604629342514,0.002953050405474931,2.8827247721608045e-05,0.0036335315843933616,0.0022856227116762164,0.750259155001967,0.004847138699718429,0.0013122376884585848,8.4767881674279e-07
Pvalue,CMA,0.284086576736953,0.7439078171612374,0.655832089124325,0.512046932227477,0.7256870509074025,0.7551872124059325,0.8474202113178086,0.9988570955657053,0.9620035408167651,0.7184009007474987,0.7128158872722703,0.912368256749419,0.8981829312340478,0.44685079446657294,0.8948981267436547,0.8790013977192764,0.8555014132237945,0.7995223194324278,0.4973856635896744,0.27530890066635705,0.5728359129629966,0.6425100335660561,0.4669949863415592,0.9211743810582249,0.5693313975502351,0.8635151641249823,0.6112105844998703,0.8771143781366743,0.9299528037045188,0.8135684848886774,0.664041345499037,0.7638193325787961,0.5703805691818618,0.5529600151341084,0.1314412175017251,0.006447878231279862,0.06317155423637903,0.5137344223045459,0.7773374797981621,0.7624412161181029,0.4694553039331707,0.8174009572753784,0.898820129870189,0.768890578921909,0.16366385512023873,0.02378587579670667,0.6969542230537655,0.3774181673036202,0.11903065777799036,0.8528137757954676,0.9669617002442011,0.9121146265028279,0.48137720992565336,0.8990958350347009,0.84040198242763,0.9796843925046306,0.9163448009480355,0.9009836279574454,0.9353201894096039,0.858289663666617,0.8876105079517345,0.5395766477458753,0.9108508948437501,0.25846802739440283,0.5377205315569007,0.31311475740544564,0.4853306374385392,0.6773424973239313,0.7218627314248975,0.24584180672952793,0.5746592773358131,0.5980929264954398,0.7370827064958119,0.8231685962042046,0.8315214096375652,0.9046757881483899,0.6413741249925498,0.6691473351321366,0.5629640936737905,0.5042048323536948,0.9133372665273705,0.7023242319357799,0.314451749767117,0.8913268961829802,0.40880872770179755,0.4176515680318593,0.42476387599696863,0.9394307031821412,0.061753279801661135,0.6267974942073312,0.37901371401391326,0.8891411454706419,0.9560620176548489,0.8102017304510564,0.6274570707775186,0.6460893273014854,0.04928396252079601,0.9067033897273873,0.9483179609998585,0.6917462866860355,0.7711174052761276,0.7240917266419598,0.4429703305098326
Pvalue,HML,0.3164948813374852,0.6062931290764995,0.8480705361861958,0.933714440815835,0.3380027030460694,0.8348573712830283,0.5659728248671769,0.31213372001331213,0.2454170002489775,0.1675117023216802,0.1745598518659104,0.9751323107691139,0.9832475351004324,0.1734482017416515,0.16572962761765017,0.1496413918353596,0.5210525514327211,0.5741591903898489,0.555227520286165,0.7572433650526172,0.9006863438165008,0.9742189041968742,0.28657016237169447,0.2434729669528246,0.09115891367902909,0.915141335642286,0.19137961086006539,0.7261432738242414,0.12279550547261735,0.07734193696902787,0.8481355352692143,0.26162333284529055,0.9683833511108866,0.06635747086055213,0.15373687601321873,0.07725340482271635,0.09944678135716414,0.8100751663310969,0.8584816369146282,0.8468829447951107,0.9223258523127136,0.833330529130609,0.7451669813006752,0.7906865929336602,0.5252969194567916,0.2528940798165325,0.8996092959688686,0.7405301746640804,0.888709372343355,0.7599647480836816,0.2701064171273263,0.23382435830987552,0.5129347595462337,0.2858600962477435,0.30111368447064335,0.7426258572585425,0.3080947975168282,0.2870632189886947,0.5321178495660874,0.9554211725881192,0.9098598415058594,0.830694895521291,0.15676844874126478,0.686575082930925,0.9450709630396996,0.6937896144885789,0.9672923896452319,0.28275978147937525,0.3381284874776064,0.09312179073559919,0.5446696856971099,0.3885887103150121,0.7678386466011247,0.4063001254356303,0.8653763134738934,0.6295566142096436,0.4601928604028951,0.1424581352372799,0.4452213787902667,0.8306130275890118,0.6611195272725021,0.6497273412947149,0.6841539876125315,0.160008713016698,0.14972467738971174,0.15688410671073436,0.3720305980677183,0.7633334286105611,0.26332595664048053,0.4524280277081216,0.7361076009621355,0.4048326732852452,0.3934053391176455,0.3774640360754411,0.5274459322207357,0.46920535475066516,0.2527497088319352,0.6162676151793971,0.6908555900395319,0.795522419693891,0.4410385042955862,0.4512993022119376,0.5540462502182522
Pvalue,Mkt-RF,0.6810895182573364,0.7944840973675696,0.1985195986749502,0.9943411022368513,0.6617016032086318,0.4849329501680649,0.7608760991444588,0.9091270113279615,0.7558054796989156,0.8368616659501508,0.9723336364962012,0.8191290988210256,0.7989307637705718,0.4416214648474478,0.9630379172225665,0.6062499635159612,0.9803713678259793,0.9939747396071887,0.27286027218052283,0.4508834885972496,0.36336738008335456,0.30657458338612975,0.8586366592039112,0.9277871903464829,0.8154491518326943,0.7559026169395289,0.7513260225502988,0.4270470031736293,0.7134650029801064,0.70858227905332,0.9995027828893643,0.9678162669801584,0.8546694176524987,0.15147563092074684,0.4017651959068046,0.18349223229867126,0.5788872994590771,0.6049866489743905,0.5011842656488928,0.5318601785415897,0.8816105477875564,0.9637603756996311,0.6589423908209382,0.8935986022007518,0.7933176261100344,0.41733740704521116,0.9387269393048588,0.8936929975449227,0.8687412996473498,0.8178041248745634,0.9246436841912353,0.8433959449660652,0.5430704446538335,0.80674691044666,0.7057417905488941,0.572618897855419,0.8806325328282542,0.9737760133382184,0.8542520879558984,0.35433482740342903,0.3167383664773209,0.691816296897849,0.49666958761154756,0.4644020366817121,0.37717321233564705,0.41068074752193917,0.5832743837155646,0.28130976985005113,0.32263515273117804,0.8537847197465314,0.5704536513381528,0.45578704509672097,0.8869207114523376,0.6017882270967514,0.23895756271735424,0.7156364328265632,0.6481413377253741,0.9654963744924225,0.6191075367545007,0.026856748802188996,0.9343023926186396,0.236833476356901,0.4663943841380891,0.8439402504978402,0.9598846033473912,0.9692511220307436,0.5113194236641236,0.7887449291485706,0.8257109544611654,0.6549219207495157,0.6608965768392097,0.8143431136111233,0.8740357666162332,0.9114470753579313,0.6405842129858306,0.6335677544941307,0.18751745925065647,0.28169068521969626,0.37192872855001735,0.130204225115944,0.6193568754311307,0.5445326336190122,0.39633170814314167
