,,Aircraft,Almost Nothing,Apparel,Apparel - Large Cap,Apparel - Small Cap,Automobiles and Trucks,Automobiles and Trucks - Large Cap,Automobiles and Trucks - Small Cap,Banking,Banking - Large Cap,Banking - Small Cap,Business Services,Business Services - Large Cap,Business Services - Small Cap,Chemicals,Chemicals - Large Cap,Chemicals - Small Cap,Communication,Communication - Large Cap,Communication - Small Cap,Computers,Computers - Large Cap,Computers - Small Cap,Construction,Construction - Large Cap,Construction - Small Cap,Construction Materials,Construction Materials - Large Cap,Construction Materials - Small Cap,Consumer Goods,Consumer Goods - Large Cap,Consumer Goods - Small Cap,Electrical Equipment,Electrical Equipment - Large Cap,Electrical Equipment - Small Cap,Electronic Equipment,Electronic Equipment - Large Cap,Electronic Equipment - Small Cap,Entertainment,Entertainment - Large Cap,Entertainment - Small Cap,Food Products,Food Products - Large Cap,Food Products - Small Cap,Healthcare,Healthcare - Large Cap,Healthcare - Small Cap,Insurance,Insurance - Large Cap,Insurance - Small Cap,Machinery,Machinery - Large Cap,Machinery - Small Cap,Measuring and Control Equipment,Measuring and Control Equipment - Large Cap,Measuring and Control Equipment - Small Cap,Medical Equipment,Medical Equipment - Large Cap,Medical Equipment - Small Cap,Non-Metallic and Industrial Metal Mining,Non-Metallic and Industrial Metal Mining - Large Cap,Non-Metallic and Industrial Metal Mining - Small Cap,Personal Services,Personal Services - Large Cap,Personal Services - Small Cap,Petroleum and Natural Gas,Petroleum and Natural Gas - Large Cap,Petroleum and Natural Gas - Small Cap,Pharmaceutical Products,Pharmaceutical Products - Large Cap,Pharmaceutical Products - Small Cap,Precious Metals,Precious Metals - Large Cap,Precious Metals - Small Cap,Real Estate,Real Estate - Large Cap,Real Estate - Small Cap,Recreation,"Restaurants, Hotels, Motels","Restaurants, Hotels, Motels - Large Cap","Restaurants, Hotels, Motels - Small Cap",Retail,Retail - Large Cap,Retail - Small Cap,Steel Works Etc,Steel Works Etc - Large Cap,Steel Works Etc - Small Cap,Trading,Trading - Large Cap,Trading - Small Cap,Transportation,Transportation - Large Cap,Transportation - Small Cap,Utilities,Utilities - Large Cap,Utilities - Small Cap,Wholesale,Wholesale - Large Cap,Wholesale - Small Cap
Beta,Alpha,-0.0018399129904303623,0.0026223977830768137,-0.003135053088161209,-0.0034375202773198363,-0.012978778157015184,0.0021599156960194934,0.002639065141034846,-0.012750992730957155,0.00022509549042147537,0.0002487659368360037,-0.0016184293704879608,0.002048266590372041,0.0023061385508605266,-0.016218434060806017,-0.003677828197084129,-0.003295387472001636,-0.010936261413667919,-0.002792536491899929,-0.002549778815740498,-0.012441363603409963,-0.0010402496187666475,-0.0007158179596503261,-0.009155233311253189,-1.2362301272422944e-05,0.0006899967981259239,-0.004882822782929159,-0.0012002869398104526,-0.0006380032752179481,-0.005864244710847712,-0.002632991587325619,-0.002384499692476974,-0.013887093918971605,-0.0002367305208028274,0.00038133545871401036,-0.015755617683986055,0.0058274039392412266,0.0060198808046940154,-0.01070408092852513,-8.773053208577849e-05,0.002818915611403978,-0.009705456507205728,-0.0001770353659996495,0.00025188793232255456,-0.0075002178859062685,-0.0012654044535016994,-0.001659472570828592,-0.008643673550661875,-0.0017480379627730896,-0.0015451489034133026,-0.005018316972892245,-2.6265111204286807e-06,0.0003683102169355257,-0.009018293865538738,0.0008547092396278448,0.0011631998074635736,-0.009177048244662547,0.00011217052399068589,0.00027194310927980154,-0.013040437690210441,-0.0012509696618171445,0.007579814236089807,-0.0057929042478409975,-0.0005736428160644145,0.0008252530330489747,-0.016126695254557344,-0.0031966697164184142,-0.0029018260257981134,-0.01445347471387199,0.002829453182275496,0.003142244321196096,-0.030580348764655162,0.0021632219287928064,0.0030334806359064866,-0.004772166406826855,-0.001978738640401642,-0.0026427046688256217,-0.016940314257216094,-0.004479720066293751,0.001742594667107104,0.002190981839883273,-0.014877960557871016,0.0029847526354096336,0.0032288517895462396,-0.012185177350793625,-0.0036673557403902753,-0.0029563735391800617,-0.012109046694898717,-0.001058983402735899,-0.000686700910803162,-0.00840943452652395,-0.0018895320182370733,-0.0014675979374090097,-0.014240526110988512,0.0002522012912011501,0.000552455349141806,-0.0026072917362987757,0.0004706960166558612,0.0008241442795739466,-0.009210003831318855
Beta,CMA,-0.0451867581486759,0.04381180044131598,0.21703121168468956,0.38626037416333336,-0.18785833793354187,-0.567359548399154,-0.5593820970137211,0.0815494491094762,-0.4923639051540173,-0.4937477296762503,-0.3574313858881441,-0.2900089192335594,-0.2895835179410773,-0.27410327338867635,0.021186271077345394,0.021332577177650074,0.0746513498156357,0.530795420168462,0.5350352947953464,0.386176716662225,-0.05306490815426836,-0.0637710148693439,0.36975778861152786,-0.101795756253796,-0.05772044900968154,-0.3567667860145258,-0.09121673496110846,-0.07947168393809023,-0.22318661909756854,0.46664110107099854,0.4682133853313922,0.207879503457026,0.009387359537295886,0.024216467514472366,-0.2659815167352548,-0.2187577502528553,-0.22115514976217646,0.010592039842407475,-0.6146695183289107,-0.5022101558421945,0.03608583958805708,0.5382675429070988,0.5325142015427223,0.5800798683539723,0.5052833878567163,0.5158359421054607,0.28942068601426024,-0.060592703880275406,-0.04920158077393774,-0.35092615210048983,0.07200288967463454,0.07739164035997678,-0.033114582033516235,0.09279843179787374,0.0984652756035875,0.026856310505744038,0.29389960681092486,0.29521704561808443,0.08538234637195413,0.35385590627280616,0.3287496051083018,0.07563727426810869,0.07953037670138915,0.08625429852499772,-0.13655427502403256,0.4889442077058443,0.49680134883912563,0.24942634957190862,0.30820401094480504,0.3141859969605515,-0.1894242877861492,0.8356008759702052,0.7612563893189885,0.7791678090826647,-0.5431103984727211,-0.5950122207673277,-0.24599580920884243,0.09731858116589848,-0.0038450579793611606,-9.126200375357552e-05,-0.13920410608739203,-0.10279877643909362,-0.10358367748179176,-0.13405992640570402,0.1269573451182187,0.1344394852562742,-0.008924377498371022,-0.19888105248942267,-0.1905183499107675,-0.27061814158719993,0.10598270195702203,0.10548669760091504,0.1563257282139845,0.36041877848186343,0.361438333938282,0.3494779980667467,0.16853694533547783,0.17913480555994546,0.0021530862032711484
Beta,HML,0.5646939415166079,0.034511825162534315,-0.18332222385835248,-0.2547785253404971,0.1863215385276335,-0.2927160861624889,-0.3105683800528687,0.025536896812170917,1.013931644888297,1.0159392782340546,0.7723279420875365,-0.2451481261441983,-0.2465517009542741,-0.19087991984535113,0.23670166566639655,0.22903433514956112,0.35275910634171187,-0.022727729798440965,-0.027091743995118375,0.13125276058012694,0.001581683934544876,0.010531499525266929,-0.456129951706318,0.13636278825005044,0.1062580881413142,0.2984068657101804,0.28229225989515255,0.2761765536735179,0.3829484060976225,-0.07014347505460593,-0.07206060078821688,0.13587056014145849,-0.1618112278706967,-0.16862985342561262,-0.03935334764997417,-0.3356639654241541,-0.3381175483380762,-0.2317680406537405,0.12731304413165398,-0.12924595975740455,0.1466119231930105,0.00723385308785501,0.020814982969905672,-0.2119235401274921,-0.12025165710148461,-0.08760009525162196,-0.21668886075860416,0.5254550764486272,0.525862190228003,0.5147902358640714,0.11609904463527648,0.11117219678099642,0.18188458470760505,-0.28704555023105144,-0.2878102847904179,-0.4311973783410993,-0.265192264624278,-0.2652537363141506,-0.2752672511764355,0.24315625668690338,0.328715404278893,0.1904000090943649,0.0002614624947763714,-0.007412364983504879,0.24813771643948326,0.6049278602744511,0.5987582405897911,0.8318197530057322,-0.1379379673884263,-0.13713188512735858,-0.2780721409085384,-0.28735685178611864,-0.18952379259737703,-0.47689882664663347,0.522950084587101,0.514652696434787,0.48024819101314814,0.13898018723762073,-0.017983137574927442,-0.025373317826690046,0.2357554136107626,-0.29501813825825873,-0.3011273851621712,0.19658606954842867,0.24572768986046395,0.22949154378250197,0.5656653429490008,0.3095955413102737,0.29632570294730565,0.5260042024647921,0.1363058503840482,0.13396842507577716,0.25941533670653033,-0.01871843990272731,-0.016585490951380306,-0.049350289351828586,0.06620844169911928,0.05632847985488994,0.2526946657201784
Beta,Mkt-RF,1.1426100582407823,0.7053153548598774,1.0776740353276195,1.1385314769959483,1.1919877289154748,1.5710403522957188,1.5673540537739123,1.6103003881833537,1.0601496229848233,1.0651134449366007,0.5465594737995054,1.0824558497543342,1.0819710841728192,1.0974581744844194,1.0988738287098045,1.096007982886119,1.1664043318865698,0.8370369710271879,0.8334090794755551,0.9918464173067352,1.127618536694273,1.1242524091195185,1.2165648870420582,1.2650043422055184,1.2654056589068334,1.2421116449429532,1.2784834937393428,1.2825361147757108,1.2318305344775329,0.7036320927679783,0.6970991516324077,1.1714865237357723,1.287346388565044,1.289618089634685,1.2043772982620955,1.2399097735059799,1.2388957354474501,1.2255167835903635,1.5091139278909498,1.375843779574116,1.0358567116812663,0.5726443771034433,0.5618914579929266,0.855597522795944,0.8220733027579455,0.8356614707394228,1.007021704942055,0.9932982175227737,1.0029783122544345,0.8726547256562422,1.3038108574744784,1.304158849882576,1.2847173767609803,1.0432636542251104,1.036340578602214,1.228797010323853,0.8374790029988883,0.8360030042404658,0.8448984216463878,1.4276238844679714,1.0682464708471209,1.3330407850667914,0.9472443061718243,0.9779977268204292,0.9259384653480385,1.0021508399089536,0.9917507880494127,1.5413912534937224,0.6420199047961523,0.6409604193917705,0.8698271562062272,0.5818975274965985,0.43660992859900294,1.0699562790414638,1.3442230278502636,1.1948754873118008,0.9979479905753132,0.9587868518979289,0.7597937388301981,0.7489013204368797,1.1922485356482757,0.9552563325589429,0.9519658291076489,1.140195043482582,1.3923304470679727,1.3951175348208715,1.2391460905503542,1.0033560590917876,1.0005245370326095,1.050426607913103,1.0988693541933705,1.0993909098229477,1.017746011390798,0.6093161733371719,0.6043790033439349,0.6620790687680995,0.8870887588955239,0.8837327760657216,0.9928290573661116
Beta,RMW,-0.014122139192025568,0.20904616387975716,0.6074301585543859,0.6017379283163624,0.7826906628476421,-0.10956789860449395,-0.1137171406405893,-0.1273856557413614,-0.4192751449321268,-0.4225987564387298,-0.01135808544249474,-0.0679555603460982,-0.06419860248527258,-0.2598410654489142,0.2933453247719161,0.2938536107581413,0.24201743331154812,0.1842409257638293,0.18343217647995375,0.2527214398115758,0.07288048664794602,0.07887077703900092,-0.11390164651726775,0.3858420559279857,0.40198543236039685,0.3035659065478213,0.3044057594805174,0.3235720508439355,0.0748877323234092,0.5568965996245765,0.5606615578834349,0.4313464417117442,0.046811934238681845,0.060589640649460895,-0.349140294336218,0.23980498030051994,0.2472720572872892,-0.46482086759161223,-0.5189460603915641,-0.6107443548594459,0.22665918429276796,0.23019908256455246,0.24263045751109025,0.044946475170307115,-0.17627210277358746,-0.22397569468592324,-0.27941950129940396,-0.10256175469398572,-0.09834399230474339,-0.2868532062567968,0.12348665056691277,0.1334783785080161,-0.08964961846105325,-0.03923848380813451,-0.02941960579755036,-0.5465459180670835,-0.17090781858435367,-0.16702450125116114,-0.6077175157636483,-0.22244230430763004,-0.35885137176997006,-0.771576729937928,0.06557126034017646,0.06559161125176402,-0.10698410557059876,0.23261069040379734,0.2286645782557239,0.40976084070154317,-0.1786179802340241,-0.16793369845847214,-1.294873577072819,0.290844342099173,0.23647347535283927,0.03776872719474911,0.07650343273399163,0.07147143071063528,0.15755233768489013,0.5096321407094012,0.4961538883368253,0.5015657581169448,0.2574316525256691,0.16504660731385498,0.1622078630374043,0.5600831776405949,0.20400003497801567,0.21143390333776024,0.2522037538011251,-0.11132044628629945,-0.12306819013308047,0.15789220153893507,0.12747032592097973,0.12929419272214054,0.01657313194764304,0.25472115190747635,0.2633634243016079,0.17695700852553592,0.248422463651396,0.2470189686243578,0.3448532343664349
Beta,SMB,0.047745428811068955,-0.11863246887644,0.3405216036969475,0.36221530428773746,1.1462839146345232,0.6963474825990776,0.6830894290872982,1.2772219652903327,-0.1373178497974407,-0.1454821791386814,0.7175310934068636,-0.19095401464733522,-0.2079111388448338,1.0553530136198375,0.16174881875759783,0.12479043732174167,0.9800410517408771,-0.021150381288400077,-0.038120528237528546,0.6311312202270553,0.05803426296603652,0.03737097534663237,1.0375533943771376,0.6324534248778434,0.570747994042351,1.2086623891210146,0.5784535239302364,0.5228986680974386,1.066119566692974,-0.07898328741196999,-0.10974836641106986,1.486693434237138,0.6057962497831039,0.5946830659900748,1.1418398768474254,-0.03563444343583894,-0.044675287984773084,1.0844075438645686,0.2005042582054701,0.04986942051635661,0.9236377379562168,-0.12663324636000817,-0.16670328018784128,0.6873886388866002,0.3626384364717248,0.29388352893674663,0.8899282989778108,-0.03970011640236906,-0.05842607281475046,0.3530469576351391,0.3344489262920428,0.3120000664256717,0.9299482117544531,0.2958256474529847,0.2844744173187998,0.926641335848223,-0.03326639608543722,-0.04540889318048021,1.0787630075002046,0.13153023934511834,0.365243748709224,0.3262925470096605,0.3313980231861874,0.28444049256452447,0.675479540184203,0.22769933007081639,0.21203134743128174,1.005511469605819,-0.10669515638036248,-0.11747230731098407,1.091282408582169,-0.16611446970670135,-0.2362634307069639,0.44229281063205583,0.7086589625792695,0.6406982705944766,0.94262160652297,0.43569235437306464,0.07669275980928017,0.05137826655124485,1.037681426947177,0.004354572900351673,-0.013008636175100789,1.2656345199159214,0.42490647079685784,0.3730955323747527,1.4848164011172704,0.030827867393963555,0.005988456251882789,0.5979184079570468,0.1391466065095049,0.12546355295916567,0.7277612896696761,-0.11240264357165486,-0.14542988029506299,0.2084335355885259,0.3362635301115282,0.31124254821217523,1.0479082120587568
Pvalue,Alpha,0.5180536019546502,0.2876047857348207,0.34161464840577815,0.4582022558810702,0.0025334908337492803,0.6637116857495033,0.6021212041080528,0.0010841703094652791,0.8926653504522479,0.8822325550843697,0.37104286785072715,0.11145455831326255,0.07622260021561877,5.504802604536849e-15,0.19002454289208162,0.25299724271414453,2.267122791542376e-05,0.14185502695700908,0.18223112973439204,0.0005923586909864484,0.6774343381976222,0.7787472341108717,0.006090124692791351,0.9969811522726635,0.8415279187549908,0.1191295731749435,0.5770097137498353,0.775590440242272,0.038966126251373995,0.1787629254227187,0.2297813999833039,6.679462345305589e-05,0.9241779419784282,0.8822117986542602,4.1512867523061876e-05,0.02403448573554093,0.02076942790451844,0.0001951920347537234,0.9845940188298631,0.49317676362828144,0.011546259786149208,0.9300322831742068,0.902814317443781,0.009245734131597327,0.625711721081319,0.5540257208603327,0.012977892894296983,0.4293164067149543,0.5016044307812659,0.02459684782173989,0.9990360151531816,0.8678284652089686,9.714946004711947e-05,0.6707984034519849,0.5684636417102358,0.016582956885273656,0.9568432837166,0.8962618445359665,0.0002214067558794836,0.8163976769841119,0.2208230315089701,0.4574635714099585,0.8115364668723162,0.7436378710755567,7.408959256047268e-06,0.38196045640012266,0.42292900383234466,0.018148839147940146,0.21359389429596667,0.1693735608674852,3.1900407580893206e-14,0.779808605947977,0.6900000954141134,0.6131458910640519,0.5089703452747922,0.41118070126024076,0.0007210227619315443,0.20512128833691692,0.42046048904557676,0.3152364234494902,0.00014512939730642468,0.09903117425432342,0.07727967027659964,3.74345135785138e-06,0.291464022513888,0.407229427449607,0.0032221233406562262,0.5086826738912835,0.6738345049802432,6.317918385116942e-05,0.2657582779991002,0.3957470623509105,2.5147694058523627e-05,0.9037104186067252,0.7954082669014473,0.21967363271920617,0.7729518183941794,0.6200351980059627,2.1628739195090392e-05
Pvalue,CMA,0.7975031116888468,0.76596807412682,0.28760721813957457,0.13149257399429537,0.4713206587101141,0.06602219745258496,0.07519128161465423,0.7323805248613203,3.37644839403614e-06,3.6610137738664966e-06,0.0015937895531361603,0.00032311373854095466,0.0003759647103013533,0.02231579003877372,0.9027243262709421,0.9046867095450615,0.6331298696515544,9.96697946056514e-06,9.577142838094539e-06,0.08169320015009067,0.7317038489358078,0.6859477816211592,0.0720090120838503,0.6148071973666942,0.7869881026648597,0.06610954204833931,0.49352070214618493,0.5662714120612262,0.20282827175743123,0.00014916002753361383,0.00017500805425149367,0.3261780729957573,0.9513779563702274,0.8791683426137487,0.2546946846395178,0.16946523819757212,0.16817760105855944,0.9517123858563226,0.02973698397202511,0.049987469524167584,0.8797995892296636,2.4215198395052503e-05,4.3501109169612995e-05,0.001203475099938812,0.0018613794277411414,0.0032249358136180396,0.18447920736079956,0.6578591582284568,0.7294550498194345,0.011234070761392906,0.5926852961575608,0.5722160264974581,0.8138418881535852,0.4560914375665851,0.4355363032111771,0.9091905718639551,0.022802599128986866,0.023033078337558608,0.691316033495412,0.2892498033477399,0.32019073879801596,0.8589786197853645,0.5933598140413677,0.5825090067301183,0.5301221694413161,0.03150293921133689,0.027421092613278564,0.507457040260914,0.02921886690569426,0.0269608486745015,0.41545604358361643,0.08209218545593584,0.1084119344821774,0.183080874173751,0.003719916726470202,0.0012244290887018518,0.4132618299969604,0.6573650550508725,0.9770694848556698,0.9994600733187049,0.5591317433609384,0.357579124181447,0.3585047566019569,0.39930240754864954,0.5548025594204617,0.5424201441490604,0.9717266731409915,0.04583896629713705,0.06022575597218522,0.034930071418667816,0.3130710653542734,0.3241618216393024,0.4455267373594134,0.005642593225603434,0.006587776504055204,0.008271459779961266,0.09615978050893058,0.08266371853715557,0.9869197819749592
Pvalue,HML,6.852935464454019e-07,0.7249393208657587,0.15236505444113826,0.11323233669602506,0.27143852992689044,0.12981684899863274,0.11478003195036486,0.864355733647643,3.2876276905914506e-37,5.556145932994452e-37,1.3460679115135572e-22,1.6639237615775625e-06,1.8309031428196866e-06,0.011259795054634066,0.03030874927967061,0.0412918299010385,0.00039242565999256327,0.7574156221838244,0.7143678157696189,0.3440093875496264,0.9869919683573078,0.915153425691325,0.00046182461529506983,0.28275952061706283,0.4277824496904148,0.014515541540540253,0.0008461752941278944,0.0016707948329687716,0.0005750074912090792,0.35536939707888904,0.34928019877339167,0.3060439470761037,0.09471731393210867,0.09237921770743986,0.787765034816035,0.0008808896294960716,0.0008868475731506915,0.035506204568390605,0.47044572307149635,0.44570665612890914,0.3300417802011676,0.9263272881690131,0.7948319362904634,0.057089635258815226,0.23288683248913242,0.4407908554243155,0.12394006046148946,4.177293595939069e-09,1.4085094466211075e-08,9.207503622956662e-09,0.16966203105566383,0.19632818004590546,0.04008583583152338,0.0002918856092898713,0.00034003507430594473,0.0038260857056702105,0.0011309613660819553,0.0012083364752264038,0.04212096743325894,0.24550934559028112,0.14773121874094314,0.5139666844231064,0.9977649649139689,0.9402186824525485,0.06975217868659976,2.9237063725402066e-05,2.9621705920996147e-05,0.0005070281011794434,0.11851689910093169,0.12240795204448013,0.05741015531818561,0.3389855261375523,0.5408407123702226,0.19362042089380466,1.0954293893084357e-05,3.874214012644966e-05,0.018509890208826513,0.3349649833943631,0.8302162979112264,0.7641164926878221,0.11548018543516383,3.622395525614145e-05,2.9927008654189456e-05,0.04950954285824068,0.06922444195915217,0.0981211051308405,0.000414951030529617,1.2759730832013974e-06,4.9716077793146926e-06,3.6404878933221883e-10,0.0392446530044083,0.046564503645510014,0.0443151005544302,0.8170053617620582,0.8409869817172282,0.54879267413159,0.29617375567044135,0.3827610704556782,0.0024008774839064505
Pvalue,Mkt-RF,2.5626064386891914e-43,8.678840226063967e-23,4.528794934941446e-33,1.8028963946754567e-21,2.974594563344505e-25,1.489802457432141e-31,1.2226759258481268e-30,1.542482028237091e-45,1.3397915850314607e-72,1.844241895539089e-72,1.278451626067284e-29,4.5255355014596885e-94,3.005339730791817e-93,6.208595911878803e-65,4.6434308482227935e-42,1.7928222188164051e-40,2.348121919920948e-51,1.1213157929142446e-48,4.460026005088176e-48,3.1718314639972644e-26,6.059938472209951e-50,1.1668070948956901e-48,1.1023461753286042e-38,2.3857355042472216e-41,1.555107326400247e-38,8.974635898602462e-43,7.553494924158726e-68,2.468583432202921e-65,6.131888915676919e-48,1.266779586360152e-37,1.844002565388019e-36,3.095000995958185e-35,1.604965156569414e-58,1.934539791211992e-56,5.049405369111542e-32,3.937946910915957e-54,1.3641120725468542e-53,1.2184099811009429e-47,9.429390793492188e-34,8.35312243697835e-31,2.282345548257547e-25,4.375044185885728e-27,1.7173052435734163e-25,3.3681387437799995e-29,1.2112294873559863e-31,7.957984959907588e-27,5.873885776537525e-28,9.708351750922544e-50,5.2098238331910005e-48,3.539274794868171e-42,1.7459703193026414e-68,2.949066140022784e-67,2.0524575720416814e-64,1.0777259839266506e-58,2.3438504780407593e-57,1.7593107692891057e-32,1.1933031117636339e-43,3.24686885345582e-43,1.4868511512395302e-21,1.754759103582555e-24,3.494241444633813e-12,1.1908847531750397e-11,2.986283045856684e-42,5.3363492321485286e-40,2.7004882704733647e-24,9.303098258230806e-26,1.00745921830812e-25,6.006473240554144e-23,6.56613128165605e-27,1.1552727725568692e-26,5.097349251030513e-20,0.0011237774038779162,0.01707656898185308,1.3245576992201188e-06,1.14897528074518e-49,5.512659137831972e-31,1.9025219446931334e-14,2.893639019003093e-23,1.937921317631559e-36,2.366705312826506e-35,1.207886090784485e-30,4.944429272416207e-60,3.514215403098044e-59,5.007851122415125e-49,3.0489269611949516e-43,6.237736435334314e-42,6.316480470451995e-30,1.417393219188214e-71,4.559659442246882e-70,1.7025742956042076e-57,5.0565655850579925e-74,9.784148010874227e-73,2.4008848513987193e-30,3.179839705847277e-28,4.856589480125164e-27,5.4961972135222975e-31,8.844243957659106e-62,2.674482210661697e-60,3.665531829758323e-52
