,,Aircraft,Aircraft - Small Cap,Almost Nothing,Apparel,Apparel - Small Cap,Automobiles and Trucks,Automobiles and Trucks - Large Cap,Automobiles and Trucks - Small Cap,Banking,Banking - Large Cap,Banking - Small Cap,Business Services,Business Services - Large Cap,Business Services - Small Cap,Chemicals,Chemicals - Large Cap,Chemicals - Small Cap,Communication,Communication - Large Cap,Communication - Small Cap,Computers,Computers - Large Cap,Computers - Small Cap,Construction,Construction - Large Cap,Construction - Small Cap,Construction Materials,Construction Materials - Large Cap,Construction Materials - Small Cap,Consumer Goods,Consumer Goods - Large Cap,Consumer Goods - Small Cap,Electrical Equipment,Electrical Equipment - Small Cap,Electronic Equipment,Electronic Equipment - Large Cap,Electronic Equipment - Small Cap,Entertainment,Entertainment - Small Cap,Food Products,Food Products - Large Cap,Food Products - Small Cap,Healthcare,Healthcare - Small Cap,Insurance,Insurance - Large Cap,Insurance - Small Cap,Machinery,Machinery - Large Cap,Machinery - Small Cap,Measuring and Control Equipment,Measuring and Control Equipment - Large Cap,Measuring and Control Equipment - Small Cap,Medical Equipment,Medical Equipment - Large Cap,Medical Equipment - Small Cap,Non-Metallic and Industrial Metal Mining,Non-Metallic and Industrial Metal Mining - Small Cap,Personal Services,Personal Services - Large Cap,Personal Services - Small Cap,Petroleum and Natural Gas,Petroleum and Natural Gas - Large Cap,Petroleum and Natural Gas - Small Cap,Pharmaceutical Products,Pharmaceutical Products - Large Cap,Pharmaceutical Products - Small Cap,Precious Metals,Precious Metals - Large Cap,Precious Metals - Small Cap,Real Estate,Real Estate - Small Cap,Recreation,Recreation - Small Cap,"Restaurants, Hotels, Motels","Restaurants, Hotels, Motels - Large Cap","Restaurants, Hotels, Motels - Small Cap",Retail,Retail - Large Cap,Retail - Small Cap,Steel Works Etc,Steel Works Etc - Large Cap,Steel Works Etc - Small Cap,Trading,Trading - Large Cap,Trading - Small Cap,Transportation,Transportation - Large Cap,Transportation - Small Cap,Utilities,Utilities - Large Cap,Utilities - Small Cap,Wholesale,Wholesale - Large Cap,Wholesale - Small Cap
Beta,Alpha,-0.0006030824195815747,0.004561353791934997,0.0027729419043291846,-0.0032102046676564236,-0.007461665445002172,0.002414888064522146,0.0025223468677396136,-0.010250987464681293,-0.0005645955876779902,-0.0005266665650933148,-0.0005504738602620036,0.0014716275666982759,0.0018579756903079922,-0.00940323376255851,-0.0039639219998703545,-0.00356079494559956,-0.007870647389977918,-0.002765386951760201,-0.005402853318476403,-0.006395374838607719,-0.0026750163348993245,-0.005856743656917632,-0.004587490182912847,0.00012992133604254797,0.0015802537753392154,-0.0049180857354003595,-0.00025247627760176114,0.0008080671471874494,-0.006227965931264051,-0.002812671265366035,-0.0023163637939510257,-0.010143515831376456,0.00024724104205976207,-0.0062663818768291515,0.005281714481251609,0.005587416827786572,-0.009159029754406857,0.005084914917825964,-0.005707620304238384,-0.00041255242797197237,0.0002577906088802747,-0.0035931959285554695,-0.001503541980753512,-0.007812096688427808,0.0011460776059091628,0.0014562869402527643,-0.0014037471038191424,0.00017565324326645535,0.0008490758852339245,-0.0070320701358065375,0.0005945693928231374,0.0016241172748292256,-0.004723915665522424,-0.0005083939308723806,-0.00037493014124822784,-0.001518055884234511,-0.002740103618470424,-0.009535938836593622,-0.0014246442511826945,0.0019045876687819316,-0.012883074367272457,-0.0043326899469806205,-0.003935335058056808,-0.013529410182281603,0.002545637293451074,0.004085664606368725,-0.0028351951417283274,0.002676654422623794,0.008876976026298257,-0.0034322283143726337,-0.0007657361618353255,-0.01241001048668156,-0.004945848068639431,-0.014111182122378668,0.0008102339191725903,-0.00035039430048469444,-0.010003540924609877,0.002249741047325958,0.002582756759097373,-0.01096979849411254,-0.004717861086741332,0.0022133484574162234,-0.011548388388789478,-0.0006891255627305902,-0.00034336428515603493,-0.0071026920215074,-0.0028125859161176703,-0.002455852658160833,-0.007642545415619274,0.0011686757197495404,0.001587202695126029,-0.00207917378403352,0.0005096116682578493,0.0013316454711166641,-0.006236223919742751
Beta,CMA,-0.028598487110516834,-0.09888576231399794,0.042816937762274236,0.36768250774337585,-0.16567719266175326,-0.6168363598124418,-0.6856131141189127,0.10667965582855615,-0.33177103280076087,-0.32462297431785214,-0.45834857162763676,-0.31315998433606534,-0.31806509127210975,-0.16033131972152267,0.10531095159144682,0.1041205425847693,0.11973242779313581,0.49812460864182434,0.3394498939538125,0.34975926960624704,-0.11029754701561341,-0.5764931788581907,-0.04187965459090297,-0.19554740702332457,-0.20424542665657897,-0.2788636843476894,-0.21922230375755822,-0.21069973128844172,-0.21062835717826217,0.4963762466192854,0.5010649797911861,0.438441617920231,-0.113923620789717,-0.24871263787326917,-0.1864071705608849,-0.19308399973591797,-0.026995899741139532,-0.44822259984839335,-0.3125492369047861,0.5812533114099278,0.6396668221276205,0.3364993779158614,0.4422233081422201,0.30563676955294,0.03051276262186617,0.05418818415805823,-0.24428959706998404,0.022554007232794628,0.018851644853023944,0.07282108717711315,0.027799172056037224,0.04746711719766074,-0.0722387102016925,0.33101553491450086,0.35390934621470344,0.12174494784074019,0.5271951278013871,0.24393915517098347,-0.048790804183468366,-0.020447953345932985,0.09439414341588753,0.31948212842751955,0.32725992516519453,0.23914463787670853,0.41183228728778787,0.5422414299684529,-0.19814263679435856,0.8298940984826589,1.0375303201457877,0.6521754450165325,-0.4901330982033407,-0.09453356635069467,0.0896528193310124,0.42520357627238914,0.07287939603770739,0.12227801463259015,-0.05258193617060448,-0.05722667094156124,-0.06452924102718922,0.08121355699357166,0.048973156369179614,0.1364677871785282,-0.053866488284570746,-0.05912571413543962,-0.051251048932581464,-0.16947695013749559,0.12639055134910082,0.13449191149857875,-0.03438907073655634,0.2976882716810374,0.3078221946266809,0.213155922211736,0.08434790231321151,0.07739250315492792,0.16398928006019062
Beta,HML,0.4783532131877777,0.2041596754601485,0.037224787795358164,-0.3793215462583671,0.04846671882759877,-0.2979955337536834,-0.3434688082586937,0.2955516057225101,0.8322269305176153,0.8332845481794732,0.8256198878896915,-0.19201551578945636,-0.18994313499595955,-0.235048320107142,0.30762563566854806,0.30958010082840837,0.30231678786623656,-0.0040057895151112445,0.1942455774047925,0.07128515713949497,0.05751284481808015,0.20148580337493383,-0.2162054980319435,0.224101541621234,0.14911723600626797,0.300096595789758,0.3449180254036933,0.3496319271619096,0.33693407111754375,-0.17339475393006634,-0.17756427684443585,-0.06667248122385862,-0.09149707285263828,-0.003786500500124359,-0.33694568090486454,-0.33855475113340633,-0.16380274115673665,-0.10630811459753449,0.2727584226636118,-0.03379581917448217,-0.04891692197892984,0.06910880151704571,-0.06675988271779247,-0.2728208636029779,0.4301428696011524,0.4269920777509925,0.48868372579709324,0.17701109821712296,0.17938265854342383,0.1297490736447754,-0.2354360524419713,-0.23850647454852034,-0.2832282566231247,-0.27111666901548226,-0.2645003950071026,-0.3122386237445579,0.2207136773598914,0.15939390066333278,0.12825610062908038,-0.009641784509695843,0.22350254903035868,0.8683523948020094,0.85690125517229,1.0901866556920026,-0.23475034340657577,-0.1978021007829482,-0.4171449759731609,-0.22177876892535292,-0.28712784030140276,-0.20028690179422654,0.48053842860137663,0.314683459105163,0.1002043839241301,-0.34184728955855465,-0.09492465728095782,-0.07042009105570296,0.05317883396643215,-0.36483893202312717,-0.36957318053140903,-0.017164639854638297,0.4442497560732821,0.45191299248275485,0.6800664623163153,0.20219113502507363,0.1901151809103667,0.42269909599440814,0.09342299139304042,0.08585423911488106,0.3077252494851,0.06357323046228337,0.06212069436792103,0.042446757264585834,0.16194721004946697,0.1568229363989173,0.22120317194193032
Beta,Mkt-RF,1.1071698921722337,1.1395689933610584,0.7038421345068047,1.055790844435675,1.0321936643149934,1.5370901333881357,1.5083054261087425,1.371110064648617,1.051675718008314,1.06865781138387,0.7432584085844058,1.0906349870415715,1.0913500595699577,1.0732100900794284,1.0761628298311425,1.0717090140144192,1.1562209876791318,0.8228362426168256,0.8574954724499224,0.8917660462855723,1.1715655607915731,1.4702753887253663,1.14957082371805,1.264701747151036,1.2731026827597713,1.287446110813427,1.2340779395945052,1.2324591854764742,1.2595320092365987,0.6964515059695956,0.6856191393087813,1.0482662615991378,1.2577683897455556,1.2815528370235645,1.2214059343443864,1.2195509912357305,1.1735902397261748,1.3061457586994518,1.0446857019064306,0.5424991127342904,0.5213876429030692,0.6619858931117794,0.8471773901037426,1.0330809158500822,0.835615618936912,0.8427697561756811,0.7922409966755648,1.2602635344245383,1.255844720097186,1.2968425692384509,1.0427281666489876,1.0260486793826114,1.1406031435298132,0.8794725182403912,0.8804248043827135,0.881270414143871,1.3003934352460893,1.4008896237173742,1.0218913359169974,0.9402089004954005,1.0190487099071839,1.05333905612504,1.040330793018782,1.461339859507577,0.6401801319811892,0.6010204428937206,0.852820265460587,0.4739182255725996,0.5879513544269133,0.7973894369221398,1.2396882947806398,1.058679959419875,0.9614001882218607,1.1918350245789087,0.7653179063289068,0.8003711828850995,1.1843211358395418,0.9866272232618744,0.9830065320313255,1.134681232618721,1.3838520664734972,1.3702092505267005,1.3366790750628443,0.9361478014123142,0.9307991271867132,1.0249551157093486,1.1252772245665836,1.1319570285835148,0.9628007016354485,0.5762112162708709,0.5621999566582216,0.698423904276415,0.8995067830652381,0.8880337426419741,1.0065573427723777
Beta,RMW,0.02287487732277236,0.06440013632703598,0.21395913007601125,0.7014063622188091,0.7312475861218849,-0.15602041653347917,-0.16272393529213813,0.175712653917086,-0.3594830907974577,-0.3822023758392822,0.06413404168863872,-0.08836053454898303,-0.07387919137357822,-0.40132653512944716,0.2586858566308122,0.24924840068770795,0.38612399449895524,0.17371819529862265,0.03935732600637262,0.0037080712898441637,-0.009118970152401333,0.08273698308866383,-0.12526745519174276,0.34412695824262257,0.4945361299887492,0.2486980192877247,0.2662289857465347,0.2669713178469944,0.27767322087005225,0.5770908947992751,0.5755583236279689,0.6983378809336324,-0.05537492988161039,-0.2658409515843965,0.31134260716564227,0.32753257222058907,-0.40165284552531205,-0.49297589808306597,0.2892556708294083,0.334138327014666,0.3955896249584037,0.12062877404482641,-0.2523659583149297,-0.35906077797428027,-0.010120184940543559,-0.0055373746662951764,-0.14164484289601084,0.03092127013153393,0.04524919341631644,-0.1044437256171216,-0.06764881909584483,-0.05327391869363585,-0.16725133859258198,-0.12974137677674985,-0.11437899201816497,-0.23728097957431984,-0.3098901911924232,-0.2334868357714668,0.08370698354992966,0.16650326545759486,-0.14002061204785984,0.07396100246696075,0.07509965139081108,0.1906964083654898,-0.10968990899221463,-0.006397794087721774,-0.7907861733774155,0.25558070393293447,-0.07228072435165987,0.22640708510719582,0.024959460686017756,0.24149789540078426,0.5653453682082218,0.47401035898018834,0.533264398275292,0.4384354654828797,0.2518898861806782,0.14390136083038763,0.1385454530225503,0.5678256833733589,0.17427776615591753,0.1343727786983645,-0.06062957785348323,-0.013089299976189775,-0.022798034683992028,0.20491415996025938,0.1263829058382512,0.12389705096522242,0.13818249613879005,0.2537892964858903,0.2630747938286663,0.1898175651554971,0.24994753092739333,0.2537358264588552,0.2757008018377755
Beta,SMB,0.08981088409422544,0.3504559348415519,-0.1145227433479407,0.4262601035709471,1.1431575331163208,0.6267520874134999,0.6250738688847757,0.9170785598222027,-0.06696790593280381,-0.12034376580925042,0.9083962003208179,-0.2520986446871287,-0.29254606856236776,0.8516267477285502,0.16343173270716904,0.0973847354918365,0.9764630210563797,-0.002048698049371867,-0.10000993942975288,0.3965552407691593,-0.05471959617251199,-0.13267746468820446,0.4141897389677888,0.5691631881595431,0.518683453508582,1.0145125695967778,0.5435080237097204,0.447928952370482,0.8792814028780611,-0.09294483192114514,-0.1491422683270304,1.2446783193794264,0.5127563181918944,0.9321201824678251,-0.05538328515800367,-0.07277747586331458,1.0245839253883098,0.17037210997757968,0.7582152956569536,-0.0674485995004665,-0.13597347712684238,0.30923388385659106,0.3137944663751047,0.9131255001146805,0.05471777838841482,0.03090379683010068,0.2782293143958413,0.2709326911203647,0.22399192177763694,0.8691750101832062,0.25433745914420625,0.2125792663639604,0.4869916932582598,-0.057849975210887666,-0.14805144202213513,0.6777972594622348,0.09065085125194268,0.4604306155106315,0.3236431577974257,0.22625372216047165,0.6007681085473527,0.22024735574222762,0.19746243011409784,0.9740518751788291,-0.06470601489439629,-0.11686181818775268,0.8967707400115631,-0.055902516646492324,-0.2713838461213489,0.3589283998014906,0.6294134176852724,0.8998456260179605,0.4327039607984191,1.1994851212151607,0.09888467725411233,-0.04242411080795482,0.8132736952611346,-0.028695829617271986,-0.05740471513942719,1.2120248993907599,0.3952129664687475,0.3134895426442628,1.0791098426459793,0.0814774817605266,0.05643800616634013,0.573390738492061,0.11953932674065282,0.09460178303014696,0.6749187586233911,-0.1000901287981056,-0.13276645842130197,0.16481252872861385,0.2776959067380074,0.22658338589104546,0.7924167707051967
Pvalue,Alpha,0.8388608672711295,0.20106161732264463,0.2665980011448144,0.3455942856575803,0.04395681854983638,0.6368261490388117,0.6687560603078141,0.0009048578026992269,0.6748153719479584,0.7041208557456471,0.7575314988043645,0.24602532310296446,0.1530746089545302,2.4880535774398857e-08,0.09732473157820244,0.15209249663456,0.0009479195110663778,0.16954277392275577,0.09084547780564853,0.02252247629845023,0.30696328122933336,0.11503585630416789,0.02882233916154544,0.9703941089897287,0.6734809590371478,0.1350977713756667,0.9033473596929176,0.7093388334106119,0.015777590032565986,0.14467151200288964,0.24076870755670185,0.0008738412797237259,0.9189362987197298,0.037770665368033925,0.047990073681062694,0.03891193102487191,0.0008271385519829961,0.20783065811523266,0.12043118843773302,0.83779830189513,0.9046210306994305,0.1306541306729674,0.5898234667409838,0.021315622069700647,0.562501191459046,0.4901265123743155,0.455467425098937,0.934094621727459,0.6998379468421365,0.0008832155581892696,0.7812371634870695,0.47681212705007137,0.04068603087338188,0.8029484100467917,0.8575492087319387,0.5250724487126024,0.60012318122475,0.08857372002456597,0.5466657539298557,0.5495171498051528,0.00013596227982848674,0.21906674021442155,0.25743206274373676,0.02248926175831343,0.2734255701168958,0.13653187334442177,0.37058373673802625,0.7296290093344542,0.34627191611060903,0.6975465645492893,0.7622389539877982,0.0015362984080062297,0.17552503951128137,0.008075160012426303,0.724939063070425,0.8987344910562755,0.000919969108010519,0.19202015148238738,0.14043407335973374,2.1443239393664598e-05,0.16050971723369512,0.6241202765916842,0.0014931264216871563,0.6407945888673463,0.8185854802317946,0.0005264512235366766,0.10948383408323244,0.1724694984172668,0.005921230311149662,0.5924549295879786,0.47650930039371875,0.3456556260311394,0.750230728143822,0.4397269123649563,0.000365153155198219
Pvalue,CMA,0.8748304733510326,0.6237658808311,0.7724912045544554,0.07848468901303218,0.46290991469005516,0.049915685105620236,0.05454944274460524,0.5672185285606529,7.939393478324991e-05,0.00017405148070871103,4.006859648425068e-05,7.590258020327973e-05,8.656494463019433e-05,0.10684977085832253,0.4705116461488036,0.49301726606446616,0.4050731173146196,7.229519023768682e-05,0.05905092907766849,0.041253764102363005,0.49106080506176486,0.039344600557828006,0.7429216586223566,0.3620209295352492,0.37163100002723914,0.16615635855498065,0.08620108096907839,0.1134820682462662,0.18000446398792277,3.738802501162772e-05,4.8435264011063255e-05,0.017928648661782957,0.4439889206504588,0.17661154240178317,0.2526409542569076,0.24191689414358464,0.870227573074986,0.07035130667308408,0.16451496436840074,4.593357820701013e-06,2.4042010975330898e-06,0.021270057475939762,0.01020784958025077,0.13954775830808291,0.8010732183806417,0.6747493968398484,0.034787509733882636,0.8623022496786618,0.8887753424817023,0.568316941760571,0.832019846847587,0.7339820810057726,0.6073077741517344,0.008533462512499633,0.0061323222443331075,0.40524432956594203,0.1005149572408212,0.46338201518082234,0.7358704527367488,0.9142967681323015,0.6416513708026086,0.1391211244009976,0.12448092838862104,0.5072942758984347,0.004134785189293421,0.000778844715894365,0.30684384304693113,0.08119753343456962,0.04076660979134156,0.2284904714310596,0.0017880128392985435,0.6896419111023766,0.6874084303630812,0.16334318861568436,0.6052151986252293,0.44262555425083117,0.7728377430734835,0.58705699057367,0.5464465679841812,0.5988020684967814,0.8114447622678364,0.5790412755780665,0.8062897266957609,0.5132626405283998,0.5761227806755983,0.17082936480315117,0.23930963850235093,0.22205080186273052,0.8381133566860324,0.02684003830305308,0.02495575584529267,0.11502145720030073,0.389802809527931,0.463192725240795,0.12067846298536784
Pvalue,HML,9.464204189046938e-05,0.130097477583692,0.7064495894383307,0.006363063063420741,0.7453230274389122,0.15120608109084344,0.15193200765176249,0.017335637736756976,5.267765007489905e-35,1.0666664117572353e-33,1.8860630917093775e-23,0.00023490117902158066,0.000375397404698443,0.0004194727920865777,0.001646428929736108,0.0023213382588632052,0.0016903028066362629,0.960712345307777,0.13652386955737963,0.5274150025033666,0.5871696189877582,0.261185701581358,0.01113401732698899,0.11508288090564682,0.3270528573520005,0.02487220556188254,6.0547071173376405e-05,9.460060907913483e-05,0.0013451428825143464,0.026934376826881358,0.027078403275321124,0.5837191078375208,0.35286511621841943,0.9751308479164364,0.001987395438613969,0.002147121962242251,0.13512465398666335,0.5148703126006634,0.06718755775599908,0.6788385216767021,0.5746127288700397,0.47178530914507233,0.5544812496079528,0.0466931012567985,2.196152333353325e-07,1.2555482587839415e-06,1.001609014636662e-09,0.04069674717415401,0.045364771391191765,0.12536119611342034,0.007143259592381296,0.010480148073841442,0.0026045977724292895,0.0011901970812509789,0.002014380367359223,0.0014381710428103835,0.2975783052964976,0.4686438343781444,0.18104620656459142,0.9395739316672549,0.09686085938970472,5.692289277295622e-09,5.545387299212873e-09,8.442748633714973e-06,0.013215807463861733,0.06174797179707744,0.001315166096638821,0.47967729695064787,0.40104857843873776,0.5755337798066549,5.074412783422156e-06,0.04555882407184046,0.5005647513550512,0.11777573572275656,0.3092571554445663,0.5055975364598335,0.659017849419999,4.1623065307989797e-07,4.4117604501883726e-07,0.8664622092791872,0.0012504308530245176,0.006612653934750723,5.2707777053906045e-06,0.0008608089718039742,0.001955305903887105,5.521951748069244e-07,0.18875421702752115,0.2385821313543008,0.006204299345710072,0.472238974217558,0.4913812210806715,0.6341835380135825,0.013197835235518431,0.02547804790918825,0.0017254510890403786
Pvalue,Mkt-RF,6.079002849679018e-36,1.5490965300331025e-26,1.849411261797954e-22,4.830059206011995e-28,3.1330054995235236e-24,8.624962321770745e-27,3.788234868254609e-20,2.1269364325425957e-45,3.834062244221816e-80,3.7615500466495716e-79,2.442179449682027e-41,4.576774613370486e-87,2.1639986590056765e-85,7.398834553723153e-69,1.4494306088499188e-45,3.303904724369597e-43,2.1331572398832817e-50,1.8429662181047146e-40,6.787877120775202e-19,2.8529378044032954e-29,4.033570014946312e-45,6.016590704648947e-29,4.6963231804184347e-57,1.971563836011196e-34,1.1885110735281033e-29,2.62430063102944e-38,1.1511061219138789e-61,5.717003909659604e-59,2.556402210271595e-50,1.520602024302904e-34,9.642175633492909e-33,6.86574737667151e-33,2.7253652570833186e-53,1.323570075634902e-42,1.646757016996139e-46,9.492920127579358e-46,1.6098319928331684e-43,9.179803789576722e-30,7.479388648094716e-25,7.199011950615146e-23,1.3940453293674404e-19,4.000504892400636e-24,3.3553443544906584e-27,1.5236895084772639e-27,5.1286001367347087e-42,3.2705549286885905e-39,6.636192023211126e-42,1.2252796100406288e-61,3.6913288452048586e-59,1.0859884141541064e-64,9.490898060483503e-50,2.513086185454697e-45,6.796979992772676e-51,3.8088823735401285e-43,6.645749716331278e-42,2.036428339795676e-35,2.2591514035233624e-20,2.543139213973636e-20,2.9924428781468582e-43,2.6334685925316597e-24,1.1210825188757694e-27,1.2292081448604003e-26,1.0639041507266345e-26,2.746528713628828e-20,1.0759076124045367e-23,1.4294723300159509e-15,6.411330745629509e-23,0.01127970399396135,0.00738170713015877,0.00021311846694225037,4.495391704351297e-50,1.92144579509121e-23,4.681628532136813e-22,5.58035880574223e-17,8.481933978796156e-31,2.4264166740018628e-23,5.1100571125362495e-39,1.7077033204568902e-59,2.550415338120895e-58,2.2511261408715246e-45,7.987703905613728e-41,1.3988524023988214e-24,7.682527123213624e-36,6.559121346954181e-66,1.2072134708151386e-64,3.30401941109236e-52,8.84048042682436e-67,1.5579226799210676e-65,4.8961170959248645e-33,3.1502139883961405e-22,8.54703185934808e-21,7.125086587694388e-29,3.0578601051623763e-58,4.718581856466242e-53,9.602404486133526e-61
