,,Aircraft,Almost Nothing,Apparel,Automobiles and Trucks,Banking,Business Services,Chemicals,Communication,Computers,Construction,Construction Materials,Consumer Goods,Electrical Equipment,Electronic Equipment,Entertainment,Food Products,Healthcare,Insurance,Machinery,Measuring and Control Equipment,Medical Equipment,Non-Metallic and Industrial Metal Mining,Personal Services,Petroleum and Natural Gas,Pharmaceutical Products,Precious Metals,Real Estate,Recreation,"Restaurants, Hotels, Motels",Retail,Steel Works Etc,Trading,Transportation,Utilities,Wholesale
Beta,Alpha,-0.0003216704398450694,0.002599377552741501,-0.003243298577829694,0.002423438012474698,-0.0005591877302113371,0.001290863619114677,-0.0036617758087130036,-0.0024367899532269518,-0.0022891494365644984,-9.383077206724198e-05,-0.00027365397723785537,-0.0026131686733659853,0.0004525246504282525,0.005301543867687169,0.004033107541623222,-0.0003160994579941727,-0.002045479940478461,0.0008157591541786044,0.0007907105242717991,0.0008460904563773039,-0.0008584453652172935,-0.0015350283263780523,-0.001492714619140819,-0.004013389551119745,0.00242788340699473,0.003372379100068637,-0.0012462644017651751,-0.004821281467754078,0.0009505497974678926,0.0023912510045455155,-0.004139318759744377,-0.0006732358232035969,-0.0026127008660155634,0.000992085234344769,0.0005048167568406952
Beta,CMA,-0.03187015118159749,0.044073728031676404,0.3571287944327987,-0.6300066015330362,-0.34207884675473976,-0.3174256598558209,0.10802723591658506,0.4905346368651884,-0.10824878363748403,-0.17871411569646106,-0.21946939572969756,0.5019916573168011,-0.10593822912699123,-0.18474151641061476,-0.44776579959471785,0.5906693693782487,0.44931322341850044,0.024468372932947017,0.028370509759349752,0.029802158363248468,0.32775423047468466,0.5309103269388973,-0.054187636013561316,0.32711961531340944,0.41059786681166444,0.8274644479251129,-0.46701274990193054,0.09161073727364244,0.07203928419584532,-0.05948301312709855,0.04606962233303036,-0.058492928757466735,0.12135215344816216,0.3054605587398578,0.10048796244032744
Beta,HML,0.4857653713807284,0.034322342013139065,-0.3740208225233864,-0.290346563861574,0.8380198586072881,-0.19328500882566138,0.3124397243636045,0.00688542138994328,0.06637730611025221,0.21119606558052997,0.34465471975560646,-0.17265190021115448,-0.08970192625764133,-0.33731495599369327,-0.12550486526136723,-0.03713788447503435,-0.08019887024068624,0.42496168775743026,0.18438167798901955,-0.23148974845164713,-0.2798718624746584,0.24322239810571955,0.12935135325343972,0.8713410198144091,-0.23296969566894413,-0.20814642219462404,0.46877796119524145,0.1032062194480252,-0.09180528570105881,-0.3611087801995532,0.457401013161836,0.20222712913712887,0.10043356901905152,0.05616845289028472,0.15305055700991538
Beta,Mkt-RF,1.1042743832409279,0.7055493735459082,1.0564451659371028,1.5366749339808856,1.0521675508454587,1.0916689275101978,1.0725257322423327,0.8199074235376218,1.1678651774553457,1.2685563876299055,1.2343031757557819,0.6936715323731653,1.250564233417194,1.2209708225968843,1.3160109414898595,0.5410636359064268,0.852067967715337,0.838284055902015,1.25295009250099,1.0398856007770911,0.8812279340765713,1.2873856834628907,1.021431825722556,1.0470100583419075,0.6387419589929328,0.46765412967301584,1.237281173884174,0.9558593775650476,0.7639268656073741,0.9848019259030234,1.3791454838291262,0.9358788426061784,1.1234755402854597,0.5771254750256645,0.898744564168911
Beta,RMW,0.030847488829650577,0.2110556364653701,0.6827051659733103,-0.17210478248848424,-0.37557820251741036,-0.10169997949605722,0.27948486326838284,0.1761192389860804,0.016184789538973923,0.3600481354615595,0.26487634994350207,0.5964071568308327,-0.012781427800973634,0.314265107174921,-0.5280499495926332,0.35337899096414704,-0.263815553363382,-0.028644646475787374,0.06947443920727508,-0.052938482685109686,-0.13706520142596798,-0.24685590307632546,0.07482653906278051,0.09930302613693603,-0.10504665771565788,0.28599298789953487,0.009276358247216558,0.5856415020720047,0.5382848403348207,0.16133945305464764,0.19724877617798442,-0.010777023927892228,0.12879592821948138,0.25828706963813836,0.26685709677294156
Beta,SMB,0.09566949063165371,-0.11828719733857497,0.4069920680818752,0.6078640641816065,-0.08425973016295503,-0.2658252118719627,0.18247678723214275,-0.002089098040059554,-0.039678569367548135,0.585250648111197,0.5422344608788053,-0.07493873968013773,0.5433974772882414,-0.052213889840650465,0.1375052312934518,-0.04773684026444215,0.303939945906383,0.03560575404806777,0.3089503707575327,0.26819167168767855,-0.0686877357692117,0.14634328790469545,0.31521103015330953,0.2462286332895219,-0.06385570680225229,-0.02995544891491039,0.6232925714017385,0.4454298985252971,0.10314391318230218,-0.017661871007557048,0.4136193577642768,0.0838250939351729,0.11946822277731144,-0.09364879333066842,0.2947624875459254
Pvalue,Alpha,0.912931498702906,0.2919689140500464,0.338552827299006,0.6328484954593518,0.6843444589726786,0.31016186707629634,0.1251637667190677,0.2254838767477739,0.3842382898282094,0.9787093432598278,0.8941820416376969,0.17649370368476455,0.8558430082948245,0.04488295341426468,0.3197430623182534,0.8759485417512514,0.461686747785243,0.6822891330400804,0.718950625529903,0.6915043670545253,0.6744208891492168,0.7711018234307682,0.5240231320444814,0.2526284471590764,0.2912643075608232,0.6603603991929577,0.618887936914372,0.18217076689879003,0.676842623671957,0.16468496109255676,0.21770445277934156,0.6452075153789084,0.1341904675572118,0.6481481766924674,0.7535638518652101
Pvalue,CMA,0.860174737606683,0.7646651428770639,0.08743092212894975,0.044490419902482356,7.410153144787243e-05,6.885713280381437e-05,0.4609112197459542,9.739052622103017e-05,0.5032870118856722,0.40892393628901097,0.08399507464679998,3.497722444847807e-05,0.48946561162903907,0.25405527463620825,0.07328083331476294,3.967897457346691e-06,0.009112713139887922,0.8417289677293689,0.8336854035177574,0.8201833435289831,0.009708827859974848,0.10294499792145057,0.706743337331363,0.12996018462278744,0.0040370371445705225,0.08069236459294758,0.0027291453640804183,0.679321328900881,0.6075648171408308,0.5732908405847154,0.8231392236315661,0.5154924552427498,0.25737070227634307,0.023204392681300808,0.3101286895783298
Pvalue,HML,6.81999098596204e-05,0.7264540136108486,0.007034678085048664,0.15968975941297334,2.6872794296987996e-34,0.0002322203308411499,0.0014273758269907832,0.932665353054567,0.5342349322655291,0.14023953511011875,5.3876498231317243e-05,0.02849267468234515,0.37569488081100116,0.0018143302782549088,0.44557658230152974,0.6516248444845535,0.47729409924041194,3.830922890559873e-07,0.03985174848635832,0.008060223204724003,0.000884633805445057,0.25707905283065985,0.17478251354729785,4.75399160906563e-09,0.013238457966899545,0.5043911012504592,7.167278640917653e-06,0.4846794461435845,0.32211469033158524,5.39331382229751e-07,0.0009235770999373123,0.0007886094614465925,0.1561520199771439,0.5247676363704178,0.019936988023779335
Pvalue,Mkt-RF,4.237523443893625e-36,8.635780097445236e-23,3.926420098270317e-28,5.485412129835849e-27,9.280097836692861e-79,4.2759630686509515e-87,2.3952084647101206e-45,3.112706287613558e-40,1.3318651361796093e-44,2.8522979719065447e-34,2.336040334123727e-62,3.982915606365458e-34,1.913898719352609e-51,5.2536794588596e-47,9.065451401379971e-30,1.60469370577044e-22,1.8101586338483235e-27,1.0011450157579533e-41,3.7774755614816625e-59,8.832773074698173e-50,5.060912493582715e-43,1.0950296373819015e-19,1.286725314248233e-43,1.774245055262269e-26,7.284998916634342e-24,0.011982376192681181,1.6629100639701607e-50,4.329810060177839e-22,5.045247395119705e-31,1.6237295408697414e-59,1.3644822268585848e-40,1.3889397988271243e-66,3.5991721360976944e-67,2.585701908738419e-22,6.695964310651338e-58
