,07/2009:01/2015,07/2009:01/2015,07/2009:01/2015,07/2009:01/2015,01/2015:02/2020,01/2015:02/2020,01/2015:02/2020,01/2015:02/2020,02/2020:12/2023,02/2020:12/2023,02/2020:12/2023,02/2020:12/2023,12/2023:01/2026,12/2023:01/2026,12/2023:01/2026,12/2023:01/2026
Ticker,Max Change,Mean Absolute Change,Mean Change,Min Change,Max Change,Mean Absolute Change,Mean Change,Min Change,Max Change,Mean Absolute Change,Mean Change,Min Change,Max Change,Mean Absolute Change,Mean Change,Min Change
Factor,,,,,,,,,,,,,,,,
Alpha,0.0102379433048245,0.004200566775899643,0.0002655472668575873,-0.0206837672535565,0.010409282296237998,0.00247594324655331,0.0002400879858328541,-0.005873168691899501,0.017798953274881,0.004960688688829443,-0.0006493380671277919,-0.0107888950196879,0.0323806961617358,0.009012677261574582,-0.00034854071444110203,-0.0195396848710313
CMA,0.9197279535953511,0.47243361162813957,-0.1347883634827406,-3.362355418267159,3.471868292582357,0.43349609955707163,0.2509366707243462,-1.0467802464068239,0.38551394184154864,0.16029711442550382,-0.015974059803290457,-0.37858067629972714,0.8996082049094751,0.4674586498627175,-0.009252676764110603,-1.4058101969352446
HML,0.7702738729936371,0.230939014315086,-0.014411576878081101,-0.47867140332441294,0.5948115568431644,0.2934086390045252,-0.1541804156108679,-1.713287266141214,0.33777656556341373,0.1015178128557533,0.002590829938897625,-0.22034154664350059,2.158944861231293,0.5443892368413992,0.2564268961489275,-1.8323412759124111
Mkt-RF,0.7026738757256676,0.10697330402715696,0.049985170201119616,-0.2039667296081744,0.44131301764966346,0.12002046256449153,0.009141902603716778,-0.38874108213157954,0.5011249196417498,0.11218748644622191,0.01201660577247505,-0.23673799090438463,0.3117245821503626,0.15877608407430227,-0.0685218448349285,-1.0598789262606239
RMW,0.517353200931479,0.2468771451024349,-0.05343992410805588,-1.3456936471413217,0.3787589389201334,0.19014232599343933,0.041789602907967016,-0.5577883642113082,0.47411208948139033,0.19036974131881332,0.016046211294244758,-0.48009258291123225,0.5878557638763772,0.2605535284732286,-0.099067533877649,-0.872037509683147
SMB,0.4487752356242183,0.1626605726614403,-0.03427963390537719,-0.4771019148146306,0.27279535891301004,0.14654628083533217,-0.06592455760852389,-0.7842414898462527,0.5515612591789933,0.1532210467070342,0.019103138728186572,-0.567231701562231,1.620644881726288,0.29056879115593864,0.012732872053458478,-0.5913497642893165
Mean beta changes,1.0581756223543999,0.24397672954685154,0.24397672954685154,0.08396429706417749,1.1115227762413404,0.236722761590972,0.236722761590972,0.06971756256482536,0.37101743675441234,0.14351864035066533,0.14351864035066533,0.0166067454090469,1.008892921787319,0.3443492580815172,0.3443492580815171,0.08780925433588889
Mean squared beta changes,2.48850458619996,,0.1662002589385397,0.009604704561261413,3.0102996342682284,,0.16860784413685195,0.009447548855208168,0.16040989687203,,0.03470388397175941,0.0004828502336568761,1.4544162307625839,,0.24390691243677537,0.011198800868939342
