,07/2009:01/2015,07/2009:01/2015,07/2009:01/2015,07/2009:01/2015,07/2009:01/2015,07/2009:01/2015,07/2009:01/2015,07/2009:01/2015,07/2009:01/2015,07/2009:01/2015,07/2009:01/2015,07/2009:01/2015,07/2009:01/2015,07/2009:01/2015,07/2009:01/2015,07/2009:01/2015,07/2009:01/2015,07/2009:01/2015,07/2009:01/2015,07/2009:01/2015,07/2009:01/2015,07/2009:01/2015,07/2009:01/2015,07/2009:01/2015,07/2009:01/2015,07/2009:01/2015,07/2009:01/2015,07/2009:01/2015,07/2009:01/2015,07/2009:01/2015,07/2009:01/2015,07/2009:01/2015,07/2009:01/2015,07/2009:01/2015,01/2015:02/2020,01/2015:02/2020,01/2015:02/2020,01/2015:02/2020,01/2015:02/2020,01/2015:02/2020,01/2015:02/2020,01/2015:02/2020,01/2015:02/2020,01/2015:02/2020,01/2015:02/2020,01/2015:02/2020,01/2015:02/2020,01/2015:02/2020,01/2015:02/2020,01/2015:02/2020,01/2015:02/2020,01/2015:02/2020,01/2015:02/2020,01/2015:02/2020,01/2015:02/2020,01/2015:02/2020,01/2015:02/2020,01/2015:02/2020,01/2015:02/2020,01/2015:02/2020,01/2015:02/2020,01/2015:02/2020,01/2015:02/2020,01/2015:02/2020,01/2015:02/2020,01/2015:02/2020,01/2015:02/2020,01/2015:02/2020,02/2020:12/2023,02/2020:12/2023,02/2020:12/2023,02/2020:12/2023,02/2020:12/2023,02/2020:12/2023,02/2020:12/2023,02/2020:12/2023,02/2020:12/2023,02/2020:12/2023,02/2020:12/2023,02/2020:12/2023,02/2020:12/2023,02/2020:12/2023,02/2020:12/2023,02/2020:12/2023,02/2020:12/2023,02/2020:12/2023,02/2020:12/2023,02/2020:12/2023,02/2020:12/2023,02/2020:12/2023,02/2020:12/2023,02/2020:12/2023,02/2020:12/2023,02/2020:12/2023,02/2020:12/2023,02/2020:12/2023,02/2020:12/2023,02/2020:12/2023,02/2020:12/2023,02/2020:12/2023,02/2020:12/2023,02/2020:12/2023,12/2023:01/2026,12/2023:01/2026,12/2023:01/2026,12/2023:01/2026,12/2023:01/2026,12/2023:01/2026,12/2023:01/2026,12/2023:01/2026,12/2023:01/2026,12/2023:01/2026,12/2023:01/2026,12/2023:01/2026,12/2023:01/2026,12/2023:01/2026,12/2023:01/2026,12/2023:01/2026,12/2023:01/2026,12/2023:01/2026,12/2023:01/2026,12/2023:01/2026,12/2023:01/2026,12/2023:01/2026,12/2023:01/2026,12/2023:01/2026,12/2023:01/2026,12/2023:01/2026,12/2023:01/2026,12/2023:01/2026,12/2023:01/2026,12/2023:01/2026,12/2023:01/2026,12/2023:01/2026,12/2023:01/2026,12/2023:01/2026
Ticker,Aircraft,Almost Nothing,Apparel,Automobiles and Trucks,Banking,Business Services,Chemicals,Communication,Computers,Construction,Construction Materials,Consumer Goods,Electrical Equipment,Electronic Equipment,Entertainment,Food Products,Healthcare,Insurance,Machinery,Measuring and Control Equipment,Medical Equipment,Personal Services,Petroleum and Natural Gas,Pharmaceutical Products,Precious Metals,Real Estate,Recreation,"Restaurants, Hotels, Motels",Retail,Steel Works Etc,Trading,Transportation,Utilities,Wholesale,Aircraft,Almost Nothing,Apparel,Automobiles and Trucks,Banking,Business Services,Chemicals,Communication,Computers,Construction,Construction Materials,Consumer Goods,Electrical Equipment,Electronic Equipment,Entertainment,Food Products,Healthcare,Insurance,Machinery,Measuring and Control Equipment,Medical Equipment,Personal Services,Petroleum and Natural Gas,Pharmaceutical Products,Precious Metals,Real Estate,Recreation,"Restaurants, Hotels, Motels",Retail,Steel Works Etc,Trading,Transportation,Utilities,Wholesale,Aircraft,Almost Nothing,Apparel,Automobiles and Trucks,Banking,Business Services,Chemicals,Communication,Computers,Construction,Construction Materials,Consumer Goods,Electrical Equipment,Electronic Equipment,Entertainment,Food Products,Healthcare,Insurance,Machinery,Measuring and Control Equipment,Medical Equipment,Personal Services,Petroleum and Natural Gas,Pharmaceutical Products,Precious Metals,Real Estate,Recreation,"Restaurants, Hotels, Motels",Retail,Steel Works Etc,Trading,Transportation,Utilities,Wholesale,Aircraft,Almost Nothing,Apparel,Automobiles and Trucks,Banking,Business Services,Chemicals,Communication,Computers,Construction,Construction Materials,Consumer Goods,Electrical Equipment,Electronic Equipment,Entertainment,Food Products,Healthcare,Insurance,Machinery,Measuring and Control Equipment,Medical Equipment,Personal Services,Petroleum and Natural Gas,Pharmaceutical Products,Precious Metals,Real Estate,Recreation,"Restaurants, Hotels, Motels",Retail,Steel Works Etc,Trading,Transportation,Utilities,Wholesale
Factor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpha,-0.00161627712931,-0.0049919704712859,0.0102379433048245,-0.0010899215614658998,-0.0027807951165444,-0.0022455545969456,0.0054506775813273,0.0035662709875213003,-0.004964945724386,-0.003519928056915858,7.315687053730002e-05,0.0034790268830610996,-0.00042118337214234114,-0.0023876131323718,0.008394727855826001,0.0049524612963242004,0.0058231019452359995,-0.0012970981068661,-0.0052673539218921,-1.5020707750900016e-05,0.0023329484610748,0.00012662025625780017,-0.0031445637079505,0.005843498341760999,-0.0052988234330628,0.0068664669404963,0.001641859493221,0.005290272927527599,0.00016261106739300004,-0.0111055348703103,0.0003175435129313001,0.0036167121554096003,0.0030993047105393,0.0049142814024611,-0.004155563229896,0.0059337283629631,0.0052238160970856,-0.0041532947777137,0.002262841835156,0.0035668530379785,0.00010457741455360001,0.0014682366958154,-8.930954483160006e-05,0.000403438446381942,-0.0026116846272895003,0.0009377707192820999,0.0004433147455089,-0.0022186667377075,-0.0006004161390433995,-0.0007485449856007999,-0.005873168691899501,0.0026551538668913,0.0005663103493296001,0.0005237042208556001,0.0031674543964278,0.0027692714896619,-0.0029837282882072998,-0.004750489863431601,0.010409282296237998,-0.0029017550120477003,-0.0016772598648514,0.0027039185315585,8.73801643927999e-05,-0.00048424222231970016,0.0025170337597778,-0.0013197873393093998,-0.00039678023962240005,-0.0052807031291967,-0.005503654569438099,-0.0010941332420538001,-0.0052090665366103,0.017798953274881,-0.0027074334209042,0.0016864762556705998,0.0008365919702680003,-0.00804473510441,-0.0005724225358689,0.003988719368096442,0.0015600483571997,-0.0086812556863026,-0.0013033681435447,0.0040886690674785,-0.0031814618023076995,-0.0062955217547961,-0.0056581868125867,0.0003423426640858999,0.0020444224749275003,-0.0016712806041237,-0.0050371880026271,0.0010726729835164,0.0111661648005108,-0.0044821776679178,-0.0093669937188081,-0.0061818335342323,-0.0107888950196879,-0.0045998291928856004,-0.00025319737903849995,0.0105168363219502,-0.0032218027149276,0.0015641745559225,-0.0071260441641585,0.0008196964019893,0.0157044580604473,-0.0125962848126754,-0.012676464388738198,0.0225861080778118,0.0049317023079161,-0.004864841609036,-0.0108527769564367,-0.0025927979150511997,0.0084388913154057,0.0051102521524208425,-0.0028195627226938,-0.008115484856044,0.0069730825524436,0.011502213901415299,-0.006487942581573199,-0.005485074976351399,-0.0138728761487306,-0.0195396848710313,0.0042938100617463,-0.005743665583422,-0.0146652246897829,-0.0109619491483499,-0.004195320773066999,-0.0120887574545619,0.0323806961617358,0.0005488786648233001,0.0095414621524557,-0.007372121693906101,-0.0011428430578114999,0.0025276282077463,0.00019707699555810006,-0.0070501046561946,0.0023951274852792,-0.0053781446728245995
CMA,0.6552248707731464,-0.17809170464497628,-0.9735436989705728,0.4522967588173099,0.2694727857015111,-0.1303541440340698,-1.1297932691407164,0.35367154587268823,-1.081269570382553,0.9197279535953511,0.6581963338612341,-0.12265849999411477,0.4717863133445655,-0.5162986865202324,-0.5179343976043633,-0.013542890066556512,0.23281407487514777,0.0535624205523456,-0.2977335853887056,-0.2934477803630957,-0.16274571820979822,0.158864398675171,-0.729914936683417,-0.028646016108321903,-3.362355418267159,0.46075572883186056,-0.018488610712017003,-0.2308952521593659,0.46688017072569865,-0.4691278503532355,-0.05686304680618989,0.1209356005142858,0.268559144214944,0.062432754633781395,0.3626109843084222,0.7045038397749823,-0.3274368475298971,0.28287305672136254,-0.182340959523083,-0.338102539962756,-0.012821031196897495,0.5247844031046924,-0.380698043633928,-0.30353222471813307,0.1442681905821434,0.16000432136624765,0.2776525044513019,-1.0467802464068239,-0.44910914547282105,-0.020195903426378115,0.3848641438234626,0.0894562730886238,0.0350718886711482,-0.089057721964726,0.31597717002802045,-0.028294757935877393,0.9872300505351622,0.08700985195311262,3.471868292582357,0.016473524076113577,0.3311105335395148,0.20864715199137782,-0.10770029721773519,0.6807686112904834,0.1791063305075583,0.2345819941833696,0.4333280595518225,0.7513970325397963,-0.1666961868369038,-0.1050703536003239,-0.021807797139018537,-0.1822141498154537,-0.010485770031365804,0.005677961307919199,0.18842867207939482,-0.2165692502484669,0.2834968367660516,-0.04671279414236609,-0.22022386951310627,0.05114407232641305,-0.37858067629972714,0.338027159814069,-0.2256529220169538,0.16185034170005996,0.1238559580711664,-0.0574415544893965,-0.0742865214014768,0.2617923940320419,0.1352346412685706,-0.2760160008894876,-0.05174048886025839,0.36014647694399643,0.38551394184154864,-0.2234226434712922,0.09664822635985369,-0.10189861556573239,-0.010540619245503799,0.035136679977130394,-0.08003303499288919,-0.3070452298342488,0.010564506286121711,-0.11063602461031,0.0340369991279032,-0.4294554774035532,0.7266480281012453,0.15746139467583925,0.5263874249370786,0.41459649497348516,-0.0802753925109734,0.14201432744077713,0.4002755716438584,0.09190645551497431,-0.0819568534078414,-0.18107004580467018,0.5390969150173512,0.6189754625610727,0.8892234836532547,-0.2862510885094516,-0.9213250209728157,-0.7507962187227594,0.0841184441860682,-0.8221270798358534,-0.48981474807827574,0.1735490247015927,-0.1777664818688799,-1.100730564249623,-1.4058101969352446,0.4084582309418881,0.8996082049094751,0.8273341850283423,-0.2682965654369366,-0.3626228817006022,0.0600418484745182,0.5607802509010863,-0.7556943690515461,-0.46681089479388105
HML,-0.3682324562350655,0.24290260674941122,0.3673984432837053,0.16755958796809517,-0.16059480132903103,0.0985715888622429,0.10773383139559467,-0.32713518580329837,0.5048246297019565,-0.2735959637725073,-0.2003623579053802,0.19464807690364788,-0.0443747218794522,0.5434554724213664,0.49037707550565335,-0.1678657103533124,-0.0193698786891537,-0.14537033093749763,-0.1366954555893008,0.031109704232673813,0.022873848469411484,-0.04928511844000909,-0.47867140332441294,-0.3577096543328775,0.7702738729936371,-0.33621935999064423,-0.11926788813167451,0.07507653778934509,0.04974958327426132,-0.2522170503646346,-0.049187859906227815,-0.0869246641775832,-0.3065596441449873,-0.16220671257588498,-0.5120982235432261,-0.4438550794360053,0.4156879283277423,0.5948115568431644,0.10791556524823931,0.1253338914087189,-0.011181195589157589,-0.3194167832591313,0.1373479147075089,-0.15064188207306228,-0.253879087759845,-0.2455770441249301,0.0859279792817193,0.4151244529629716,-0.056717230351107706,-0.209072873268746,-0.5025909494029114,-0.16358170620955453,0.0697198489443881,-0.0939442906902696,-0.5914427694809725,-0.034136668355258984,-0.5687532686371335,-0.2783824829584435,-1.713287266141214,-0.2953319758819714,0.23425211452009387,-0.1282787753970165,0.026578129836760445,-0.15165848673073062,-0.2767828068496443,-0.1184183003072172,-0.3952317044878802,-0.4164165682057187,0.15264533437900485,0.048678392802841496,0.007162080798798043,-0.11205035006516101,-0.011790883565549026,0.03697893737043159,-0.128390942068385,0.13058048319959792,-0.22034154664350059,-0.0540930417590621,0.009475936489340198,-0.1045284487264358,0.0452597881409166,-0.1665935836873279,0.1089668714854348,-0.0490001119684204,-0.1406917681887036,-0.0232195659704188,0.021940455428056893,-0.1013997725084968,0.046018136748479405,0.0721864360003093,0.33777656556341373,-0.2061534507592378,-0.1949910027698534,0.12685769917204925,-0.2177735973596864,0.08211146161084809,0.006019292283370947,-0.04966762646316314,0.0821227831575303,0.2023529307765396,0.17500556779805282,0.056378960105977205,-0.3016721690454719,1.008252305456403,-0.4962402398942394,-1.8323412759124111,-0.3147970128028996,-0.2795728517113825,0.41398066771205316,0.6392036579308792,-0.3923042422142188,-0.012100277435854984,0.2387873325705237,0.5430943294656251,-0.5910179311782836,-0.5079378384843489,-0.36357289952941696,0.6449162251197644,1.6096336842622765,0.7338136959054653,-0.080353682516001,0.4347678424774287,1.0716928123874032,0.4563922671867888,0.2299985361692598,1.4356098053215396,2.158944861231293,0.11697093385491486,0.16696445361889156,0.21437216864391762,0.11299004691326964,0.45967418466692456,0.1509959898280055,0.07192855433535651,0.44041844259811846,0.5168983593283776
Mkt-RF,0.09919065797891591,0.07265829571623161,0.03319223186532483,-0.15566449043853825,0.02740256756536663,0.04217099961693638,0.23753539095558307,-0.012181620722358733,0.2503041569872515,-0.2039667296081744,0.04845141503330663,0.08202025466181473,0.02221785051475167,0.001802195711616994,0.033006060750545574,0.04347790141418317,-0.06528672843429284,0.19252549270677344,0.23523569685848833,0.06056831026887455,-0.08414883630236414,0.08915631748724784,0.08018229160571844,0.02927528906731014,-0.14179133358501878,0.06215606928602968,0.0012294615099883721,-0.1329036725020709,-0.07263665493994764,0.19790949060143603,0.07393695819245805,-0.004914544384124309,-0.07603809310811915,-0.07625370484366312,0.08922672959153433,0.04092739829770742,-0.20172906388155976,-0.38874108213157954,0.07191502152714957,-0.0842371640046724,0.05010913979891218,0.09397511715716222,0.04218406227728999,-0.33860588261636193,0.05952596434370716,0.029458534034667805,-0.026079237101563013,-0.117278675460871,-0.13999485676388246,0.13443723092658255,0.1679519637770429,0.05312516369950948,-0.05448287982977029,0.08682237763650003,0.10812020006402889,-0.27803640374543914,0.19335229943178245,0.2043146626790604,-0.02312690499250919,0.06424438303298485,0.44131301764966346,-0.09717764032576581,0.005901398300612981,0.03467809791927934,-0.20948848475458492,0.03335970494848395,-0.03683580368538619,0.13607305799427227,-0.11331214874525408,0.06937355173345361,0.0991774726480803,0.3435633095206576,-0.0637485491963713,0.002547068089489235,-0.052669042317570414,0.06926263419217382,-0.23673799090438463,0.10047384872251963,-0.14744582012570562,-0.06804634455503578,-0.15418125656229065,0.03548892342937515,-0.07112869765911545,0.04986728978789434,-0.055701401070632595,-0.1176549648855939,-0.17982756959713542,-0.05210212812937498,0.08287961946240208,0.038750062143588115,0.1627729312344144,-0.06484764461665882,0.5011249196417498,-0.06602219841778356,-0.06750906897128672,0.1852235596508719,0.04484551184674945,-0.09459352348221373,0.08061118724376515,0.030844023296646927,0.196853547379512,0.029826713466979737,-0.2749961301190992,0.18218742931636878,-0.057761448211055,-1.0598789262606239,-0.10123209828424407,0.02158975111661543,-0.09690743657237189,-0.0005946765886122307,-0.00982583937914816,-0.002134765862553234,-0.17053829406747267,0.11741385558840056,-0.06892923518999061,-0.03428764858902311,-0.16001816646499134,-0.32665899260715603,0.3117245821503626,0.08063604533129953,0.08541721859374296,-0.14644588613282417,0.1436927267692688,0.17229717835101588,-0.19924571255378043,0.10314270222358934,-0.3204706978730772,-0.17323451561680892,-0.16922611861286108,-0.12660655544337562,0.10296462885262803,0.07583992301463938,0.03395323837321185,0.03494094255328317,-0.005715526137010762,-0.11860109458769263
RMW,-0.049328587374874805,0.3544124504268107,0.0415126575726007,-0.2718189615360061,-0.09670150190310028,0.1371357051930798,-0.2253927972951138,0.061527481555499114,0.0603584304813473,-1.3456936471413217,-0.4219401107764069,-0.01739761731018996,-0.06967875353421149,0.517353200931479,0.2065565335703219,-0.22845930482932747,0.17036610364430743,-0.4450126026474385,0.0261379858866449,-0.2575578929477326,-0.1564160342606814,-0.1747346467563228,0.1518376233105009,-0.3806054297473852,-0.5676822513019657,-0.25861128090246277,0.44423334210982546,0.2850489578297052,0.312402754734163,-0.020228086341814305,-0.1472127852773441,0.16056871138119452,-0.018249836974120193,-0.2529851169310127,-0.006677727600983202,-0.042997301898350604,0.07959686822995649,0.0021047515745874212,-0.31891428400788097,-0.18616626992162583,-0.1796638273942467,0.3618339334498365,0.3367793744455637,0.035962909531892906,0.005366048576424698,-0.19939061132071728,0.0805619669100471,0.3183740298379208,0.27349880823905687,0.19558755795868538,-0.1102745166776189,-0.3165959652343575,0.1800786667059462,0.1458097972521121,-0.09984077608013231,0.1932093658170528,-0.5577883642113082,-0.3726692247755365,0.1936972696802471,0.3009047873477035,0.12523477079222178,-0.13456217392214193,0.2010555819690986,0.23502519760285642,0.09312027593567561,0.016050116569344408,0.2320213768855105,-0.1448079724936009,0.19411201024474461,-0.1787841299748836,-0.13054422646925834,-0.3367084000709381,0.1780339466316144,-0.0068207249915033935,-0.0011499994331857777,-0.30798600775671137,0.3769076484618489,0.47411208948139033,0.3625428127655595,0.2585632430076258,0.3134751924387939,-0.1831310282017779,-0.01913099553147324,-0.10381929658982608,0.22065871110001933,0.1828681362752642,0.18465001565069408,0.1567072326711866,-0.025040734077447613,-0.0796700476597969,-0.48009258291123225,0.31332504604739353,-0.2062256179566791,-0.043786275724551904,0.020870995499026268,-0.10188551005418323,-0.21657570994329722,0.17062263634086602,-0.028017093110606902,-0.2019413963901503,-0.35155916617508587,0.11766768910020481,0.20390460810167982,0.042988675884841204,-0.1371822504000484,0.3741381303614329,-0.02950801417550819,-0.055313603507035194,0.2746527435411154,0.019561081047743206,-0.2099659283110501,-0.29373775823090253,-0.5587267781832643,-0.01047849359647346,-0.4975081493161352,-0.036998260193230104,0.1244404542081613,0.004831152569704789,-0.6958913919907795,0.5878557638763772,-0.2944136349710496,-0.19582021940088778,-0.08874456416300211,0.17614508071432308,0.3753994059281631,-0.20655791440698068,0.1785963819930092,-0.0720448019145544,-0.48836840073216553,-0.6158042356996135,-0.05958453815686261,-0.872037509683147,0.0277179297695363,-0.39721945927521274,0.2559629662511175,-0.4530826647266394
SMB,-0.221679514053515,0.2940281114653924,0.02081534603168167,-0.22647302905072986,-0.17688077240251687,0.02702530223938418,-0.4771019148146306,-0.07290776356132861,-0.014815422250871797,-0.13478588259791907,-0.1539408978938545,-0.1922110747142669,0.0470425319100255,0.06494586738762631,0.38952345834303026,-0.1333258441521745,0.02534673679162619,-0.031221709967807598,0.1409476992854749,0.13310336367399683,-0.1054490180223579,0.2710096162893176,-0.2626457617033517,-0.33196819471330685,0.4487752356242183,-0.2683944615186645,-0.09066647335803119,0.22650548975489493,-0.019619651856377804,-0.11054381019811377,-0.12944522899392719,-0.046477964863699595,0.059127566151026205,-0.1409020677603361,-0.1318465923544672,-0.0580652524641834,0.0028582459940288962,-0.45452314499382723,-0.1001860537307727,-0.10460070149917522,0.16917856572625092,-0.1372052733752571,-0.017552230295188,-0.09555476751257769,0.029857750148024498,-0.1007279634755259,-0.03334374891070513,0.1537490544399627,0.04767339727619449,-0.2361795958959724,-0.2391782437577308,-0.0251073949685654,0.11598449492878954,-0.04101602672175189,0.12690782982532578,-0.08531594032629988,0.055492152206510964,0.1499373962952003,-0.1556341478103745,-0.26951959734587244,-0.7842414898462527,-0.3567350945773566,0.0073524054999196,0.27279535891301004,-0.0490078492649667,0.08614046730886732,-0.1155181765121394,0.08671761868513134,0.42544028856912636,-0.0818328931986001,-0.280119852748977,-0.18764660082958134,0.2113734580744877,0.03100903528589108,-0.025612385399206405,-0.0032306863264325997,0.3130122618850259,-0.014516912805925042,0.05261914870692441,0.2433680968546308,0.10521885165997757,0.014659246185355204,-0.0038257947235932066,0.032947327800579705,0.21478341565825027,-0.1380116376444798,0.07678028496220562,-0.0942602991658825,0.006574183401471194,-0.15432343258814687,-0.1532282625187621,0.2651632742941505,-0.567231701562231,0.11880138257556128,0.5515612591789933,0.1292611154630294,-0.11844421151978049,0.0639570898498743,-0.019845382813566598,-0.1899109053770237,-0.2939477763423034,-0.08813360805476508,0.05254534896612059,-0.3814584062926992,0.32096370329192453,1.620644881726288,0.1240468980314527,0.09020659667355377,0.005616033008936011,-0.2527027182946486,0.1308022824336173,0.5758039109089956,0.139416298926063,-0.1321305732373742,0.22444366387115677,0.1278932080324547,-0.3722914003735764,0.1447122109513003,-0.4696198735034173,-0.2378243589611184,-0.22869077334018229,0.1667387654627729,-0.4623746608720356,-0.33357616309954446,-0.47657850234501853,-0.5913497642893165,0.024458454861048598,0.3914200559118439,0.21801488145012143,-0.30081664004518827,0.19996466173066352,-0.4799233518487844,0.16633726523417258,-0.12340422822826039,0.2245072105872789,-0.15830512911347908
Mean beta changes,0.2787312172831035,0.22841863380056443,0.2872924755447771,0.25476256556213583,0.1462104857803052,0.08705154798914261,0.43551144072032766,0.16548471950303462,0.38231444196079606,0.5755540353430547,0.2965782230940365,0.12178710471680684,0.13102003423660127,0.3287710845944642,0.32747950515478286,0.11733433016311082,0.10263670448690558,0.17353851136237256,0.1673500846017229,0.15515741029727473,0.10632669105292263,0.14861001952961367,0.3406504033254802,0.22564091679384032,1.0581756223543999,0.2772273801059323,0.13477715516430727,0.1900859820070764,0.1842577631060897,0.21000525757184682,0.09132917583522941,0.08396429706417749,0.14570685691863938,0.13895607134893567,0.22049205147972661,0.2580697743742458,0.2054617907926369,0.3446107184529042,0.1562543768074251,0.16768811335938966,0.08459075194109297,0.2874431020692159,0.18291232507189575,0.18485953329040558,0.09857940828202896,0.14703169486441775,0.10071308733106729,0.41026129182171,0.1933986876206125,0.1590946322952729,0.28097196348775333,0.12957330064012215,0.09106755581600846,0.09133004285307192,0.248457749095696,0.12379862723598564,0.47252322700437943,0.21846272373227063,1.1115227762413404,0.18929485353692915,0.38323038526954933,0.18508016724273174,0.06971756256482536,0.274985150491272,0.16150114946248598,0.0977101166634565,0.24258702422454775,0.3070824499837038,0.21044119375500675,0.09674786426202055,0.10776228596082645,0.2324365620603584,0.09508652149987765,0.0166067454090469,0.07925020825954848,0.14552581234467654,0.2860992569321623,0.13798173738225264,0.1584615175201272,0.14513004109402824,0.19934315302034117,0.14757998826358104,0.0857410562833141,0.0794968735693561,0.15113825081775442,0.10383917185303064,0.10749696940791376,0.13325236530139656,0.05914946299167417,0.12418919585626575,0.23712216621761623,0.2419271785322874,0.37101743675441234,0.11577803987224763,0.1908726294737693,0.120076052468933,0.07928506896774039,0.08279551122264951,0.058125896263671616,0.18641889713492188,0.20558611279621514,0.08052859906764738,0.17343105107205495,0.4088684588707731,0.34775913397970254,1.008892921787319,0.2191942896462366,0.17225585959641443,0.17428645466908999,0.21081529226053206,0.22863477279637853,0.19513663359065614,0.23788511143103303,0.1968374595385087,0.38419917891458344,0.2652184835720259,0.3819092808458801,0.2814739339514754,0.8016389105759302,0.47818521655940394,0.1545987507214088,0.3531799586619534,0.4512639024539971,0.26239194281065303,0.2917977277730204,0.6874781500982097,0.8176561185787344,0.23242570764800208,0.38843641186470296,0.4169867569720874,0.14876008821807207,0.45001957018281946,0.08780925433588889,0.23765468705863985,0.33645970292501437,0.34273962851001394
Mean squared beta changes,0.12526573524365786,0.06161165498296835,0.21720545071159109,0.07641111757561939,0.02795903225456885,0.009604704561261413,0.3245781243143134,0.04827011140160716,0.29810131969214604,0.5582830625817131,0.13548925702377507,0.019381615593753787,0.046422640557043655,0.16675674646428182,0.14084184852192852,0.02004441383542959,0.017701401781396682,0.052015708608530144,0.03664324335275158,0.034960101469461345,0.013935175913236989,0.027918835582459278,0.17207375740691586,0.07693944180924066,2.48850458619996,0.0936236116433787,0.044026368214860494,0.041834027081923145,0.06474172207962885,0.06709833127839455,0.009909439379878917,0.010029596350625742,0.03514274931836185,0.023975671209191744,0.08382416834644991,0.1400456770489046,0.06540995781888745,0.15830666052483564,0.032361866194060125,0.03654339969502417,0.012740160368456563,0.10720123125040426,0.05586067461033922,0.0479805552551282,0.017946304433578288,0.02733600223865184,0.018551338712631003,0.2813664556099227,0.060317755920481275,0.031245600851418188,0.09965852701495335,0.027689413780843435,0.010988001634562511,0.009447548855208168,0.09748197541027638,0.024775763194786436,0.3299391606333355,0.05763511528865044,3.0102996342682284,0.05096083962547447,0.197996776067332,0.04295989567690471,0.010563596483175768,0.12346058410877345,0.03272927602402725,0.015568452421405244,0.08250331045940582,0.15700108603717594,0.05652135430518921,0.011376488470361712,0.021174394693370274,0.06247536369454161,0.016137535752928988,0.0004828502336568761,0.011084188653999067,0.03272332670982386,0.08500035630609448,0.04803923014605503,0.04090693636936451,0.02885103978717053,0.055696267956885905,0.03540542271457843,0.013646588724417378,0.008589452685147773,0.026611860098633682,0.014033867715668613,0.015665733214442857,0.02299479279274314,0.0055890733363213865,0.022612063989097382,0.07944658043497083,0.06897881872848774,0.16040989687203,0.017280098116506964,0.07319582296781826,0.015704496032314098,0.012618505169290797,0.0091703974914104,0.004165279687589311,0.042604263017614094,0.055897803841518524,0.007584353569475842,0.04242511787395684,0.2763111039833341,0.1798889571977694,1.4544162307625839,0.08053743478727118,0.05234283504559397,0.05253617050131113,0.09859820777523572,0.07508292539499195,0.08528595698664984,0.0848864285650792,0.07181842257632891,0.18851364702144704,0.1320065315561539,0.22051915683742546,0.125105536916052,0.8483480523870716,0.3021628997982899,0.03196151728925106,0.1905019568102791,0.3261514991938411,0.08207992584771247,0.09845017711114867,0.7351164841919637,1.3545083151029116,0.0737861273689993,0.23036874274017616,0.24323440158410112,0.0277775391299808,0.2678646492498148,0.011198800868939342,0.0987761957134953,0.17619911578670816,0.14590139199829175
